di;3872;3,56%
che;2714;2,50%
e;2374;2,18%
un;2136;1,97%
la;2064;1,90%
a;1896;1,74%
il;1887;1,74%
in;1698;1,56%
non;1679;1,54%
era;1552;1,43%
si;1537;1,41%
una;1307;1,20%
per;1055;0,97%
l;1011;0,93%
del;937;0,86%
le;902;0,83%
i;745;0,69%
gli;727;0,67%
con;706;0,65%
winston;686;0,63%
ma;625;0,58%
da;619;0,57%
è;602;0,55%
o;601;0,55%
della;596;0,55%
aveva;555;0,51%
più;528;0,49%
lo;527;0,48%
al;518;0,48%
come;504;0,46%
se;492;0,45%
erano;424;0,39%
nel;395;0,36%
alla;334;0,31%
solo;317;0,29%
anche;315;0,29%
partito;294;0,27%
quando;287;0,26%
essere;285;0,26%
dei;268;0,25%
sua;267;0,25%
loro;266;0,24%
cui;251;0,23%
dell;248;0,23%
tutto;244;0,22%
sono;237;0,22%
fosse;236;0,22%
lui;230;0,21%
dal;227;0,21%
all;225;0,21%
nella;223;0,21%
prima;223;0,21%
suo;216;0,20%
ogni;212;0,20%
poi;208;0,19%
uno;204;0,19%
brien;201;0,18%
stato;198;0,18%
vi;196;0,18%
disse;194;0,18%
ne;192;0,18%
due;190;0,17%
sul;188;0,17%
perché;187;0,17%
mai;186;0,17%
anni;183;0,17%
delle;181;0,17%
fra;181;0,17%
sempre;180;0,17%
questo;179;0,16%
cosa;178;0,16%
quel;177;0,16%
quella;177;0,16%
quasi;174;0,16%
senza;172;0,16%
poteva;171;0,16%
qualche;171;0,16%
dalla;170;0,16%
ancora;170;0,16%
ci;168;0,15%
ora;167;0,15%
tempo;167;0,15%
tutti;167;0,15%
fatto;167;0,15%
c;163;0,15%
volta;161;0,15%
sarebbe;158;0,15%
d;156;0,14%
parte;153;0,14%
ti;153;0,14%
quanto;150;0,14%
julia;150;0,14%
quello;149;0,14%
su;145;0,13%
altro;143;0,13%
stesso;133;0,12%
avrebbe;133;0,12%
ciò;133;0,12%
dopo;132;0,12%
avevano;132;0,12%
così;132;0,12%
forse;132;0,12%
occhi;131;0,12%
quale;128;0,12%
stava;128;0,12%
momento;126;0,12%
fare;126;0,12%
guerra;125;0,12%
proprio;124;0,11%
mentre;124;0,11%
parole;122;0,11%
modo;117;0,11%
grande;117;0,11%
volto;116;0,11%
voce;114;0,10%
già;110;0,10%
parola;110;0,10%
perfino;110;0,10%
mondo;109;0,10%
mente;109;0,10%
nei;108;0,10%
stata;108;0,10%
passato;107;0,10%
tre;106;0,10%
altra;105;0,10%
tanto;105;0,10%
dire;105;0,10%
però;105;0,10%
alle;104;0,10%
uomo;103;0,09%
qualcosa;103;0,09%
tutte;102;0,09%
ai;102;0,09%
nulla;102;0,09%
vita;101;0,09%
altri;100;0,09%
tu;99;0,09%
sulla;96;0,09%
giorno;95;0,09%
sembrava;94;0,09%
sapeva;93;0,09%
mano;93;0,09%
degli;92;0,08%
sei;91;0,08%
ho;91;0,08%
nell;90;0,08%
dall;88;0,08%
mi;88;0,08%
corpo;87;0,08%
suoi;87;0,08%
nelle;86;0,08%
faccia;86;0,08%
lei;85;0,08%
teleschermo;83;0,08%
possibile;83;0,08%
questa;83;0,08%
ragazza;83;0,08%
hai;83;0,08%
dove;82;0,08%
ad;82;0,08%
sotto;82;0,08%
neolingua;82;0,08%
meno;81;0,07%
fratello;81;0,07%
qualsiasi;80;0,07%
volte;80;0,07%
ed;78;0,07%
doveva;78;0,07%
aria;77;0,07%
contro;77;0,07%
fino;77;0,07%
senso;76;0,07%
stanza;76;0,07%
neanche;76;0,07%
dai;75;0,07%
caso;75;0,07%
ha;73;0,07%
simile;72;0,07%
quattro;72;0,07%
fu;72;0,07%
sue;70;0,06%
sì;70;0,06%
fuori;70;0,06%
posto;70;0,06%
verso;68;0,06%
genere;68;0,06%
avesse;68;0,06%
molto;68;0,06%
po;68;0,06%
noi;67;0,06%
stessa;66;0,06%
davanti;66;0,06%
persone;65;0,06%
punto;65;0,06%
ministero;64;0,06%
nuovo;64;0,06%
oceania;64;0,06%
donna;64;0,06%
trattava;64;0,06%
dolore;64;0,06%
parlare;63;0,06%
bene;62;0,06%
adesso;62;0,06%
io;62;0,06%
tavolo;62;0,06%
quelle;61;0,06%
odio;61;0,06%
allora;61;0,06%
col;61;0,06%
impossibile;61;0,06%
tutta;61;0,06%
capelli;60;0,06%
fine;60;0,06%
sia;59;0,05%
visto;59;0,05%
li;59;0,05%
prolet;59;0,05%
vero;58;0,05%
né;58;0,05%
strada;58;0,05%
potere;58;0,05%
cose;58;0,05%
riusciva;58;0,05%
pensiero;58;0,05%
mani;58;0,05%
troppo;57;0,05%
meglio;57;0,05%
uomini;57;0,05%
certo;56;0,05%
stati;56;0,05%
sé;56;0,05%
luce;56;0,05%
detto;56;0,05%
vecchio;56;0,05%
appena;55;0,05%
spalle;55;0,05%
potuto;55;0,05%
letto;55;0,05%
te;55;0,05%
no;54;0,05%
dita;54;0,05%
sorta;54;0,05%
alcuna;54;0,05%
aver;53;0,05%
attimo;53;0,05%
avere;53;0,05%
testa;53;0,05%
persona;53;0,05%
realtà;53;0,05%
faceva;53;0,05%
avanti;53;0,05%
vedere;52;0,05%
impressione;52;0,05%
piedi;52;0,05%
morte;51;0,05%
fece;51;0,05%
ore;51;0,05%
avrebbero;51;0,05%
nessuno;51;0,05%
minuti;51;0,05%
nome;50;0,05%
quali;50;0,05%
maniera;50;0,05%
fossero;50;0,05%
dalle;49;0,05%
interno;49;0,05%
via;49;0,05%
cinque;49;0,05%
subito;48;0,04%
potevano;48;0,04%
fa;48;0,04%
porta;48;0,04%
quindi;47;0,04%
veniva;47;0,04%
quei;47;0,04%
quelli;47;0,04%
trovava;47;0,04%
pensare;47;0,04%
lavoro;46;0,04%
vista;46;0,04%
quell;46;0,04%
tuttavia;46;0,04%
carta;46;0,04%
potesse;46;0,04%
mezzo;46;0,04%
specie;46;0,04%
almeno;46;0,04%
madre;45;0,04%
storia;45;0,04%
cominciò;45;0,04%
chi;45;0,04%
chiese;45;0,04%
bocca;45;0,04%
indietro;45;0,04%
infatti;44;0,04%
fronte;44;0,04%
sui;44;0,04%
giù;44;0,04%
amore;44;0,04%
membri;44;0,04%
oggi;44;0,04%
esiste;44;0,04%
ben;43;0,04%
vittoria;43;0,04%
alzò;43;0,04%
idea;42;0,04%
me;42;0,04%
orwell;41;0,04%
giorni;41;0,04%
memoria;41;0,04%
verità;41;0,04%
durante;41;0,04%
gran;41;0,04%
forza;41;0,04%
avuto;41;0,04%
lungo;41;0,04%
parsons;41;0,04%
sarebbero;41;0,04%
alcun;41;0,04%
esempio;41;0,04%
paura;40;0,04%
dietro;40;0,04%
queste;40;0,04%
forma;40;0,04%
cuore;39;0,04%
libertà;39;0,04%
importanza;39;0,04%
psicopolizia;39;0,04%
finché;39;0,04%
sapere;39;0,04%
pensò;39;0,04%
là;39;0,04%
ricordava;39;0,04%
qualcuno;39;0,04%
membro;39;0,04%
questi;39;0,04%
paio;39;0,04%
dentro;39;0,04%
hanno;39;0,04%
secondo;38;0,03%
sarà;38;0,03%
socing;38;0,03%
può;38;0,03%
anzi;38;0,03%
sguardo;38;0,03%
qui;38;0,03%
allo;37;0,03%
s;37;0,03%
altre;37;0,03%
terra;37;0,03%
atto;37;0,03%
braccio;37;0,03%
eurasia;37;0,03%
lì;37;0,03%
necessario;37;0,03%
capire;36;0,03%
bisogno;36;0,03%
tratto;36;0,03%
trenta;36;0,03%
comunque;36;0,03%
attorno;36;0,03%
goldstein;36;0,03%
sola;36;0,03%
soprattutto;35;0,03%
effetti;35;0,03%
luogo;35;0,03%
intero;35;0,03%
bambini;35;0,03%
tono;35;0,03%
sentì;35;0,03%
motivo;34;0,03%
rivoluzione;34;0,03%
poco;34;0,03%
bianco;34;0,03%
tipo;34;0,03%
gesto;34;0,03%
accanto;34;0,03%
venne;34;0,03%
estasia;34;0,03%
veramente;34;0,03%
libro;33;0,03%
attraverso;33;0,03%
sulle;33;0,03%
futuro;33;0,03%
state;33;0,03%
settimana;33;0,03%
diceva;33;0,03%
sole;33;0,03%
casa;33;0,03%
ricordo;33;0,03%
pezzo;33;0,03%
gin;33;0,03%
prese;33;0,03%
nemmeno;33;0,03%
secondi;33;0,03%
parve;33;0,03%
significato;33;0,03%
syme;33;0,03%
particolare;32;0,03%
espressione;32;0,03%
acqua;32;0,03%
davvero;32;0,03%
conto;32;0,03%
intorno;32;0,03%
stesse;32;0,03%
aprì;32;0,03%
agli;32;0,03%
siamo;32;0,03%
nello;31;0,03%
egli;31;0,03%
società;31;0,03%
sull;31;0,03%
fondo;31;0,03%
sicuro;31;0,03%
sopra;31;0,03%
capo;31;0,03%
tuo;31;0,03%
corso;31;0,03%
rispose;31;0,03%
primo;30;0,03%
diario;30;0,03%
grandi;30;0,03%
invece;30;0,03%
esistenza;30;0,03%
certamente;30;0,03%
improvviso;30;0,03%
nemico;30;0,03%
sentire;30;0,03%
difficile;30;0,03%
lessico;30;0,03%
anno;29;0,03%
londra;29;0,03%
ormai;29;0,03%
uso;29;0,03%
rispetto;29;0,03%
vetro;29;0,03%
ricordare;29;0,03%
nero;29;0,03%
avessero;29;0,03%
stavano;29;0,03%
movimenti;29;0,03%
