di;1512;4,02%
che;893;2,37%
e;863;2,29%
un;842;2,24%
a;688;1,83%
la;666;1,77%
il;626;1,66%
in;562;1,49%
una;504;1,34%
è;492;1,31%
per;492;1,31%
non;351;0,93%
i;339;0,90%
del;332;0,88%
l;326;0,87%
si;298;0,79%
da;294;0,78%
le;291;0,77%
mi;288;0,76%
con;259;0,69%
della;255;0,68%
come;254;0,67%
ma;218;0,58%
sono;187;0,50%
nel;164;0,44%
al;159;0,42%
più;152;0,40%
gli;151;0,40%
o;144;0,38%
ho;127;0,34%
lo;119;0,32%
dei;119;0,32%
alla;118;0,31%
dell;115;0,31%
se;113;0,30%
anni;113;0,30%
anche;113;0,30%
perché;110;0,29%
delle;105;0,28%
solo;98;0,26%
cui;96;0,25%
all;94;0,25%
ogni;91;0,24%
ha;89;0,24%
progetto;85;0,23%
d;85;0,23%
ci;83;0,22%
due;82;0,22%
tutti;82;0,22%
mio;81;0,22%
mia;79;0,21%
design;77;0,20%
uno;76;0,20%
lavoro;75;0,20%
su;75;0,20%
ne;75;0,20%
quando;72;0,19%
sempre;71;0,19%
questo;69;0,18%
così;68;0,18%
loro;64;0,17%
mai;61;0,16%
dopo;59;0,16%
fare;59;0,16%
sul;59;0,16%
me;58;0,15%
ancora;58;0,15%
dal;57;0,15%
via;56;0,15%
molto;56;0,15%
arte;55;0,15%
sia;55;0,15%
poi;54;0,14%
io;54;0,14%
ai;53;0,14%
era;53;0,14%
altro;52;0,14%
tra;52;0,14%
essere;51;0,14%
nella;51;0,14%
tutto;51;0,14%
quella;51;0,14%
senza;50;0,13%
qualità;48;0,13%
forma;48;0,13%
altri;47;0,12%
stato;46;0,12%
oggi;46;0,12%
quello;46;0,12%
tre;46;0,12%
milano;46;0,12%
nei;45;0,12%
hanno;45;0,12%
cosa;45;0,12%
prima;44;0,12%
sua;44;0,12%
suo;44;0,12%
già;44;0,12%
li;44;0,12%
dalla;43;0,11%
quel;42;0,11%
realizzare;41;0,11%
degli;40;0,11%
qualche;39;0,10%
miei;39;0,10%
oggetto;37;0,10%
tutte;37;0,10%
ad;36;0,10%
punto;36;0,10%
dove;36;0,10%
c;36;0,10%
volta;36;0,10%
giorno;35;0,09%
può;35;0,09%
alcuni;35;0,09%
quale;35;0,09%
mie;34;0,09%
anno;34;0,09%
parte;34;0,09%
alle;34;0,09%
spesso;34;0,09%
mercato;33;0,09%
modo;33;0,09%
esempio;33;0,09%
mostra;33;0,09%
grande;32;0,08%
quasi;32;0,08%
tempo;31;0,08%
invece;31;0,08%
mentre;31;0,08%
mari;30;0,08%
serie;30;0,08%
ciò;30;0,08%
chi;30;0,08%
grandi;30;0,08%
fatto;29;0,08%
oggetti;29;0,08%
allora;29;0,08%
vita;29;0,08%
scuola;29;0,08%
avevo;29;0,08%
dalle;28;0,07%
viene;28;0,07%
dall;28;0,07%
sulla;28;0,07%
primo;28;0,07%
credo;28;0,07%
cose;28;0,07%
insieme;28;0,07%
legno;28;0,07%
modelli;28;0,07%
progettare;27;0,07%
danese;27;0,07%
quali;27;0,07%
nell;27;0,07%
produzione;27;0,07%
col;27;0,07%
pubblico;27;0,07%
questa;26;0,07%
casa;26;0,07%
mondo;25;0,07%
enzo;25;0,07%
designer;25;0,07%
piano;25;0,07%
ero;25;0,07%
sarebbe;25;0,07%
mano;25;0,07%
negli;24;0,06%
ricerca;24;0,06%
disegno;24;0,06%
dai;24;0,06%
bene;24;0,06%
cultura;24;0,06%
idea;23;0,06%
fa;23;0,06%
posso;23;0,06%
primi;23;0,06%
industriale;23;0,06%
opera;23;0,06%
quindi;22;0,06%
qualcuno;22;0,06%
corso;22;0,06%
agli;21;0,06%
progetti;21;0,06%
storia;21;0,06%
capacità;21;0,06%
aver;21;0,06%
ed;21;0,06%
stesso;21;0,06%
bambino;20;0,05%
sembra;20;0,05%
però;20;0,05%
possibile;20;0,05%
poco;20;0,05%
qualcosa;20;0,05%
giorni;20;0,05%
opere;20;0,05%
sta;20;0,05%
catalogo;20;0,05%
proprio;19;0,05%
città;19;0,05%
altra;19;0,05%
forse;19;0,05%
nelle;19;0,05%
so;19;0,05%
volte;19;0,05%
mesi;19;0,05%
padre;19;0,05%
erano;19;0,05%
tecnica;19;0,05%
stessa;19;0,05%
libro;18;0,05%
quell;18;0,05%
subito;18;0,05%
piccolo;18;0,05%
tanto;18;0,05%
