che;1536;3,31%
a;1348;2,90%
e;1209;2,60%
di;1125;2,42%
la;994;2,14%
non;882;1,90%
il;845;1,82%
un;666;1,43%
era;618;1,33%
si;544;1,17%
l;491;1,06%
per;437;0,94%
s;427;0,92%
na;416;0,90%
ma;362;0,78%
n;313;0,67%
d;297;0,64%
lo;296;0,64%
le;283;0,61%
aviva;279;0,60%
se;277;0,60%
montalbano;267;0,58%
con;261;0,56%
in;259;0,56%
mi;257;0,55%
come;247;0,53%
al;245;0,53%
c;243;0,52%
fazio;237;0,51%
gli;234;0,50%
ci;228;0,49%
alla;216;0,47%
da;215;0,46%
della;196;0,42%
commissario;186;0,40%
fici;182;0,39%
liliana;173;0,37%
i;160;0,34%
pirch;160;0,34%
del;155;0,33%
dissi;153;0,33%
io;147;0,32%
lei;140;0,30%
ha;140;0,30%
una;132;0,28%
ho;121;0,26%
lui;119;0,26%
supra;115;0,25%
cosa;115;0,25%
all;114;0,25%
quanno;114;0,25%
po;111;0,24%
nel;111;0,24%
o;110;0,24%
machina;110;0,24%
sono;108;0,23%
lombardo;108;0,23%
ti;106;0,23%
fatto;102;0,22%
quello;98;0,21%
m;98;0,21%
prima;98;0,21%
fari;97;0,21%
nella;95;0,20%
no;93;0,20%
ad;92;0,20%
ora;91;0,20%
cchi;90;0,19%
stava;87;0,19%
erano;87;0,19%
tu;86;0,19%
arturo;85;0,18%
stato;81;0,17%
casa;80;0,17%
nicotra;80;0,17%
allura;79;0,17%
mia;79;0,17%
tutto;78;0,17%
sinni;77;0,17%
dei;75;0,16%
dalla;75;0,16%
macari;75;0,16%
essiri;72;0,16%
hanno;69;0,15%
qualichi;69;0,15%
tempo;68;0,15%
porta;67;0,14%
accuss;67;0,14%
nenti;67;0,14%
quali;66;0,14%
doppo;62;0,13%
me;62;0,13%
chi;61;0,13%
sarebbi;61;0,13%
fu;61;0,13%
villino;61;0,13%
momento;60;0,13%
dell;60;0,13%
sta;59;0,13%
misi;59;0,13%
questo;57;0,12%
tra;57;0,12%
ancora;57;0,12%
mano;57;0,12%
tali;56;0,12%
quella;56;0,12%
signura;56;0,12%
tallarita;56;0,12%
avrebbi;55;0,12%
senza;55;0,12%
certo;54;0,12%
davanti;54;0,12%
voss;54;0,12%
verso;53;0,11%
spi;53;0,11%
dal;52;0,11%
sulo;52;0,11%
dottori;51;0,11%
mentri;50;0,11%
appena;49;0,11%
