di;2054;3,59%
e;1715;3,00%
che;1546;2,71%
la;1356;2,37%
il;913;1,60%
non;826;1,45%
un;822;1,44%
una;770;1,35%
le;759;1,33%
a;736;1,29%
per;715;1,25%
in;683;1,20%
si;570;1,00%
è;505;0,88%
chiara;493;0,86%
ma;462;0,81%
l;427;0,75%
con;426;0,75%
da;404;0,71%
i;395;0,69%
del;361;0,63%
della;352;0,62%
come;352;0,62%
era;336;0,59%
mi;333;0,58%
se;314;0,55%
ha;237;0,41%
sono;228;0,40%
lo;226;0,40%
nel;225;0,39%
alla;223;0,39%
al;199;0,35%
più;198;0,35%
lei;196;0,34%
anche;189;0,33%
sua;185;0,32%
ho;172;0,30%
gli;153;0,27%
dei;153;0,27%
o;148;0,26%
et;142;0,25%
delle;140;0,24%
nella;139;0,24%
suo;135;0,24%
questo;134;0,23%
perché;133;0,23%
ad;129;0,23%
cui;128;0,22%
solo;124;0,22%
de;123;0,22%
loro;120;0,21%
corpo;119;0,21%
su;116;0,20%
dal;115;0,20%
quando;114;0,20%
io;108;0,19%
cosa;108;0,19%
dell;106;0,19%
convento;105;0,18%
francesco;104;0,18%
alle;104;0,18%
erano;102;0,18%
dalla;97;0,17%
aveva;96;0,17%
essere;95;0,17%
ed;95;0,17%
poi;91;0,16%
così;91;0,16%
c;91;0,16%
quel;88;0,15%
quella;88;0,15%
cara;87;0,15%
ogni;87;0,15%
mai;84;0,15%
sul;83;0,15%
d;82;0,14%
vita;81;0,14%
sempre;77;0,13%
ci;77;0,13%
cristo;77;0,13%
senza;76;0,13%
ne;76;0,13%
chiesa;76;0,13%
tanto;75;0,13%
li;75;0,13%
sue;74;0,13%
fra;74;0,13%
santa;72;0,13%
anni;71;0,12%
questa;71;0,12%
volta;71;0,12%
donna;70;0,12%
san;70;0,12%
quello;69;0,12%
donne;69;0,12%
tutto;68;0,12%
assisi;67;0,12%
all;67;0,12%
povertà;67;0,12%
proprio;66;0,12%
amore;66;0,12%
mia;66;0,12%
madre;66;0,12%
forse;66;0,12%
poco;63;0,11%
uno;63;0,11%
tutti;63;0,11%
mio;62;0,11%
piedi;62;0,11%
dio;62;0,11%
fatto;61;0,11%
prima;61;0,11%
due;61;0,11%
hanno;60;0,10%
ai;60;0,10%
né;60;0,10%
sia;60;0,10%
me;59;0,10%
sulla;59;0,10%
dai;59;0,10%
può;59;0,10%
fare;58;0,10%
nei;58;0,10%
nelle;57;0,10%
fosse;57;0,10%
sorelle;57;0,10%
stato;56;0,10%
fa;54;0,09%
quasi;53;0,09%
epsa;53;0,09%
molto;53;0,09%
qualcosa;53;0,09%
ancora;53;0,09%
letto;52;0,09%
suoi;52;0,09%
signore;51;0,09%
avere;50;0,09%
già;50;0,09%
chi;49;0,09%
altro;49;0,09%
scrittrice;48;0,08%
mondo;48;0,08%
dire;48;0,08%
lui;48;0,08%
parole;48;0,08%
dalle;47;0,08%
modo;47;0,08%
voce;46;0,08%
tempo;46;0,08%
dove;46;0,08%
stata;45;0,08%
quale;45;0,08%
padre;45;0,08%
dopo;44;0,08%
sembra;44;0,08%
altre;43;0,08%
papa;43;0,08%
libro;42;0,07%
qualche;42;0,07%
mano;42;0,07%
acqua;42;0,07%
mani;42;0,07%
testa;41;0,07%
volte;41;0,07%
avrebbe;41;0,07%
altra;41;0,07%
proprietà;41;0,07%
fino;40;0,07%
nell;40;0,07%
mentre;39;0,07%
verso;39;0,07%
occhi;39;0,07%
quelle;39;0,07%
dice;39;0,07%
col;39;0,07%
parte;39;0,07%
sarà;39;0,07%
storia;38;0,07%
grande;38;0,07%
figlio;38;0,07%
sogno;38;0,07%
poteva;38;0,07%
libri;37;0,06%
giorno;37;0,06%
sotto;37;0,06%
racconta;37;0,06%
parola;36;0,06%
invece;36;0,06%
uomo;36;0,06%
dentro;36;0,06%
sé;36;0,06%
ora;36;0,06%
casa;36;0,06%
madonna;35;0,06%
sarebbe;35;0,06%
so;35;0,06%
pensiero;35;0,06%
doveva;35;0,06%
qui;34;0,06%
stessa;34;0,06%
scrive;34;0,06%
damiano;34;0,06%
morte;33;0,06%
tutte;33;0,06%
vergine;33;0,06%
spesso;33;0,06%
eppure;32;0,06%
voleva;32;0,06%
altri;32;0,06%
troppo;32;0,06%
momento;32;0,06%
monache;32;0,06%
libertà;31;0,05%
quanto;31;0,05%
porta;31;0,05%
sa;31;0,05%
quindi;31;0,05%
suore;31;0,05%
fu;31;0,05%
fuori;30;0,05%
piccola;30;0,05%
stesso;30;0,05%
diritto;30;0,05%
sta;29;0,05%
terra;29;0,05%
abbia;29;0,05%
viene;29;0,05%
cuore;29;0,05%
bene;28;0,05%
nome;28;0,05%
faceva;28;0,05%
fine;28;0,05%
quei;28;0,05%
dall;28;0,05%
sola;28;0,05%
contro;28;0,05%
nessuno;28;0,05%
sposo;28;0,05%
visto;27;0,05%
perfino;27;0,05%
punto;27;0,05%
nonostante;27;0,05%
andare;27;0,05%
giovane;27;0,05%
femminile;27;0,05%
certamente;27;0,05%
matrimonio;26;0,05%
allora;26;0,05%
famiglia;26;0,05%
sorella;26;0,05%
forma;26;0,05%
potere;26;0,05%
disse;26;0,05%
oggi;25;0,04%
santo;25;0,04%
veniva;25;0,04%
però;25;0,04%
faccia;25;0,04%
degli;25;0,04%
avuto;25;0,04%
soprattutto;25;0,04%
sopra;25;0,04%
idea;25;0,04%
dolore;25;0,04%
suor;25;0,04%
propria;24;0,04%
tutta;24;0,04%
silenzio;24;0,04%
avrà;24;0,04%
ragazza;24;0,04%
medioevo;24;0,04%
meno;24;0,04%
ragione;24;0,04%
queste;24;0,04%
sore;23;0,04%
cose;23;0,04%
capire;23;0,04%
piccolo;23;0,04%
vero;23;0,04%
vi;23;0,04%
notte;23;0,04%
questi;23;0,04%
male;23;0,04%
bocca;23;0,04%
marito;23;0,04%
frati;23;0,04%
venivano;23;0,04%
regola;23;0,04%
nello;22;0,04%
detto;22;0,04%
sì;22;0,04%
molte;22;0,04%
frate;22;0,04%
bambino;22;0,04%
ciò;22;0,04%
bisogno;21;0,04%
scelta;21;0,04%
voglia;21;0,04%
giorni;21;0,04%
va;21;0,04%
mente;21;0,04%
avesse;21;0,04%
sposa;21;0,04%
latte;21;0,04%
uomini;20;0,03%
processo;20;0,03%
tante;20;0,03%
voluto;20;0,03%
vista;20;0,03%
niente;20;0,03%
maria;20;0,03%
ore;20;0,03%
bambina;20;0,03%
certo;20;0,03%
capelli;20;0,03%
avevano;20;0,03%
sulle;20;0,03%
mammolo;20;0,03%
potuto;20;0,03%
malattia;20;0,03%
piacere;20;0,03%
appena;19;0,03%
davanti;19;0,03%
città;19;0,03%
parla;19;0,03%
pure;19;0,03%
voglio;19;0,03%
stesse;19;0,03%
vuole;19;0,03%
persona;19;0,03%
agli;19;0,03%
fronte;19;0,03%
morta;19;0,03%
verginità;19;0,03%
