di;5491;3,54%
la;3671;2,37%
che;3324;2,15%
e;3260;2,10%
il;3172;2,05%
a;2990;1,93%
un;2989;1,93%
si;2176;1,40%
in;2050;1,32%
langdon;1814;1,17%
una;1716;1,11%
l;1679;1,08%
era;1572;1,01%
per;1506;0,97%
non;1504;0,97%
aveva;1225;0,79%
è;1174;0,76%
le;1154;0,74%
con;1114;0,72%
del;1017;0,66%
della;1010;0,65%
sienna;966;0,62%
da;925;0,60%
i;867;0,56%
più;766;0,49%
al;692;0,45%
ma;687;0,44%
gli;687;0,44%
lo;678;0,44%
come;531;0,34%
nel;528;0,34%
alla;502;0,32%
se;493;0,32%
dell;470;0,30%
all;435;0,28%
lei;418;0,27%
ha;413;0,27%
sua;388;0,25%
nella;363;0,23%
suo;355;0,23%
sono;353;0,23%
mi;353;0,23%
verso;352;0,23%
sinskey;348;0,22%
dei;328;0,21%
sul;325;0,21%
disse;322;0,21%
cosa;318;0,21%
prima;308;0,20%
cui;305;0,20%
erano;302;0,19%
uomo;298;0,19%
dal;294;0,19%
quando;293;0,19%
delle;291;0,19%
mentre;289;0,19%
lui;282;0,18%
sulla;270;0,17%
loro;269;0,17%
poi;269;0,17%
quel;268;0,17%
dalla;266;0,17%
d;261;0,17%
occhi;258;0,17%
c;257;0,17%
anche;256;0,17%
quella;253;0,16%
zobrist;252;0,16%
solo;250;0,16%
ho;248;0,16%
fosse;242;0,16%
su;238;0,15%
questo;234;0,15%
ci;234;0,15%
dante;231;0,15%
ancora;231;0,15%
essere;228;0,15%
stato;217;0,14%
fatto;217;0,14%
rettore;217;0,14%
tutto;208;0,13%
senza;204;0,13%
sguardo;201;0,13%
br;200;0,13%
der;200;0,13%
ora;198;0,13%
due;195;0,13%
sembrava;193;0,12%
io;192;0,12%
fece;191;0,12%
nell;188;0,12%
porta;186;0,12%
uno;186;0,12%
donna;185;0,12%
mondo;183;0,12%
stava;182;0,12%
dall;181;0,12%
dove;181;0,12%
testa;179;0,12%
maschera;177;0,11%
quello;176;0,11%
o;175;0,11%
così;174;0,11%
parte;173;0,11%
molto;171;0,11%
sempre;163;0,11%
lungo;163;0,11%
questa;163;0,11%
sotto;162;0,10%
palazzo;161;0,10%
altro;159;0,10%
qualche;159;0,10%
acqua;159;0,10%
ad;158;0,10%
momento;158;0,10%
perché;156;0,10%
mai;155;0,10%
davanti;154;0,10%
quasi;153;0,10%
appena;151;0,10%
tra;150;0,10%
voce;150;0,10%
ai;149;0,10%
quanto;148;0,10%
qui;147;0,09%
inferno;144;0,09%
robert;144;0,09%
mano;144;0,09%
dottoressa;143;0,09%
tempo;143;0,09%
stata;142;0,09%
avevano;140;0,09%
tutti;139;0,09%
nuovo;138;0,09%
dopo;138;0,09%
alle;136;0,09%
avere;136;0,09%
ogni;135;0,09%
suoi;135;0,09%
marta;133;0,09%
grande;132;0,09%
sì;130;0,08%
sia;129;0,08%
già;129;0,08%
volta;129;0,08%
qualcosa;127;0,08%
avrebbe;127;0,08%
pensò;125;0,08%
vide;124;0,08%
fuori;124;0,08%
punto;123;0,08%
detto;121;0,08%
dietro;119;0,08%
ne;117;0,08%
firenze;116;0,07%
aria;116;0,07%
chiese;116;0,07%
interno;114;0,07%
quale;113;0,07%
altra;113;0,07%
sarebbe;112;0,07%
mio;111;0,07%
anni;110;0,07%
avesse;110;0,07%
voltò;109;0,07%
proprio;108;0,07%
fare;108;0,07%
lì;107;0,07%
ferris;107;0,07%
città;106;0,07%
sopra;106;0,07%
fino;105;0,07%
abbiamo;104;0,07%
brooks;103;0,07%
vedere;102;0,07%
dai;101;0,07%
visto;101;0,07%
vayentha;100;0,06%
modo;99;0,06%
degli;99;0,06%
però;99;0,06%
nelle;98;0,06%
vita;98;0,06%
ti;98;0,06%
bertrand;98;0,06%
attraverso;97;0,06%
sue;97;0,06%
luce;96;0,06%
uomini;95;0,06%
sta;94;0,06%
piedi;93;0,06%
guardò;93;0,06%
qualcuno;93;0,06%
chi;92;0,06%
sei;91;0,06%
sentì;91;0,06%
mente;91;0,06%
subito;91;0,06%
agente;89;0,06%
rispose;89;0,06%
occhiata;89;0,06%
certo;89;0,06%
piazza;88;0,06%
ed;87;0,06%
niente;87;0,06%
venezia;86;0,06%
cercando;86;0,06%
ciò;85;0,05%
parole;85;0,05%
giorno;85;0,05%
siamo;85;0,05%
mia;84;0,05%
tu;84;0,05%
no;84;0,05%
li;83;0,05%
alto;83;0,05%
vecchio;82;0,05%
elizabeth;82;0,05%
turisti;81;0,05%
persone;80;0,05%
via;80;0,05%
poco;80;0,05%
capelli;80;0,05%
professore;80;0,05%
nei;80;0,05%
tutta;80;0,05%
bene;79;0,05%
spalle;79;0,05%
museo;79;0,05%
san;78;0,05%
conto;77;0,05%
nome;76;0,05%
strada;76;0,05%
metri;76;0,05%
alzò;76;0,05%
idea;76;0,05%
tre;76;0,05%
bordo;75;0,05%
attimo;75;0,05%
passo;74;0,05%
forse;74;0,05%
fu;74;0,05%
immagine;74;0,05%
virus;74;0,05%
terra;73;0,05%
sé;73;0,05%
sull;73;0,05%
stesso;73;0,05%
quell;73;0,05%
oltre;72;0,05%
tutte;72;0,05%
istante;71;0,05%
persona;71;0,05%
faccia;71;0,05%
so;70;0,05%
sulle;70;0,05%
intorno;70;0,05%
sera;70;0,05%
senso;70;0,05%
video;70;0,05%
luogo;70;0,05%
arte;69;0,04%
avanti;69;0,04%
noi;68;0,04%
unica;68;0,04%
morte;68;0,04%
annuì;68;0,04%
cliente;68;0,04%
sapeva;68;0,04%
hai;67;0,04%
avuto;67;0,04%
accanto;67;0,04%
meno;67;0,04%
santa;67;0,04%
marco;66;0,04%
trovare;66;0,04%
dalle;66;0,04%
prese;66;0,04%
corridoio;66;0,04%
hanno;65;0,04%
mani;65;0,04%
indicò;65;0,04%
vicino;65;0,04%
nessuno;65;0,04%
edificio;65;0,04%
colpo;64;0,04%
trova;64;0,04%
dire;64;0,04%
sorriso;64;0,04%
silenzio;64;0,04%
altri;63;0,04%
fa;63;0,04%
adesso;63;0,04%
fondo;63;0,04%
centro;63;0,04%
