di;16621;3,38%
e;12806;2,60%
che;11771;2,39%
il;9422;1,92%
la;8656;1,76%
a;7845;1,60%
un;7674;1,56%
in;7192;1,46%
non;6259;1,27%
una;4989;1,01%
per;4789;0,97%
si;4335;0,88%
l;4222;0,86%
del;4049;0,82%
è;3746;0,76%
con;3606;0,73%
le;3525;0,72%
della;3313;0,67%
era;3197;0,65%
più;3064;0,62%
da;3035;0,62%
i;3015;0,61%
mi;2509;0,51%
ma;2388;0,49%
come;2308;0,47%
al;2022;0,41%
alla;1730;0,35%
nel;1669;0,34%
the;1619;0,33%
se;1529;0,31%
così;1491;0,30%
gli;1440;0,29%
questo;1427;0,29%
lo;1414;0,29%
d;1357;0,28%
sua;1353;0,28%
dell;1321;0,27%
suo;1278;0,26%
o;1256;0,26%
nella;1203;0,24%
dei;1193;0,24%
sono;1140;0,23%
mio;1126;0,23%
cui;1119;0,23%
mia;1082;0,22%
delle;1079;0,22%
quando;1067;0,22%
all;1044;0,21%
ci;982;0,20%
aveva;978;0,20%
anche;951;0,19%
dal;941;0,19%
erano;923;0,19%
senza;879;0,18%
tutto;877;0,18%
questa;863;0,18%
quella;859;0,17%
mai;839;0,17%
stato;839;0,17%
essere;832;0,17%
dopo;794;0,16%
su;790;0,16%
io;787;0,16%
ogni;784;0,16%
prima;772;0,16%
and;772;0,16%
fu;764;0,16%
dalla;764;0,16%
loro;764;0,16%
due;759;0,15%
uno;757;0,15%
of;757;0,15%
molto;753;0,15%
sul;752;0,15%
ora;748;0,15%
me;741;0,15%
quanto;725;0,15%
ha;719;0,15%
quel;713;0,15%
solo;681;0,14%
ad;672;0,14%
sulla;658;0,13%
verso;654;0,13%
quale;646;0,13%
ne;644;0,13%
fosse;635;0,13%
tempo;632;0,13%
ho;620;0,13%
ancora;604;0,12%
modo;597;0,12%
perché;591;0,12%
ed;576;0,12%
altro;576;0,12%
tutti;568;0,12%
parte;566;0,12%
quello;561;0,11%
sia;551;0,11%
mentre;547;0,11%
fatto;544;0,11%
c;538;0,11%
signor;526;0,11%
qualche;493;0,10%
sempre;492;0,10%
alle;492;0,10%
nell;488;0,10%
punto;476;0,10%
suoi;471;0,10%
cosa;470;0,10%
proprio;468;0,10%
poi;468;0,10%
tanto;462;0,09%
sarebbe;449;0,09%
noi;447;0,09%
avevo;437;0,09%
ai;435;0,09%
tra;430;0,09%
occhi;427;0,09%
stesso;419;0,09%
sue;408;0,08%
momento;408;0,08%
s;405;0,08%
qui;403;0,08%
grande;399;0,08%
dall;397;0,08%
allora;396;0,08%
può;392;0,08%
nelle;387;0,08%
tre;387;0,08%
vi;386;0,08%
quasi;386;0,08%
dove;385;0,08%
dire;384;0,08%
poco;383;0,08%
fino;380;0,08%
degli;373;0,08%
meno;370;0,08%
to;368;0,07%
piedi;368;0,07%
nei;365;0,07%
uomo;365;0,07%
questi;365;0,07%
n;364;0,07%
lui;364;0,07%
giorno;361;0,07%
egli;360;0,07%
sotto;355;0,07%
avrebbe;353;0,07%
that;352;0,07%
terra;348;0,07%
ben;346;0,07%
né;345;0,07%
ero;344;0,07%
tuttavia;343;0,07%
t;342;0,07%
certo;341;0,07%
volta;340;0,07%
poe;339;0,07%
fare;338;0,07%
fra;336;0,07%
miei;336;0,07%
lungo;333;0,07%
lei;328;0,07%
acqua;326;0,07%
già;324;0,07%
queste;318;0,06%
parole;317;0,06%
fine;316;0,06%
altri;315;0,06%
tutte;313;0,06%
disse;313;0,06%
dalle;311;0,06%
stata;309;0,06%
subito;308;0,06%
via;307;0,06%
quali;307;0,06%
notte;306;0,06%
caso;306;0,06%
circa;305;0,06%
vita;304;0,06%
secondo;303;0,06%
tale;301;0,06%
altra;301;0,06%
forse;293;0,06%
nostro;291;0,06%
poteva;289;0,06%
ciò;286;0,06%
casa;283;0,06%
voce;275;0,06%
potuto;275;0,06%
corpo;273;0,06%
però;271;0,06%
nostra;270;0,05%
tutta;269;0,05%
mare;265;0,05%
quelle;264;0,05%
testa;262;0,05%
aver;258;0,05%
durante;256;0,05%
col;255;0,05%
primo;255;0,05%
avevano;252;0,05%
cuore;251;0,05%
luce;250;0,05%
mano;249;0,05%
morte;247;0,05%
aria;246;0,05%
hanno;244;0,05%
nome;244;0,05%
m;242;0,05%
parola;241;0,05%
anni;239;0,05%
nulla;239;0,05%
mie;238;0,05%
chi;237;0,05%
bene;236;0,05%
no;233;0,05%
idea;232;0,05%
qualcosa;230;0,05%
quindi;227;0,05%
genere;225;0,05%
sembrava;225;0,05%
appena;222;0,05%
nessuno;219;0,04%
dai;217;0,04%
porta;217;0,04%
my;217;0,04%
troppo;215;0,04%
stessa;214;0,04%
attraverso;212;0,04%
po;212;0,04%
oh;210;0,04%
giorni;210;0,04%
detto;210;0,04%
aspetto;209;0,04%
dubbio;209;0,04%
qualsiasi;208;0,04%
visto;208;0,04%
senso;207;0,04%
quell;206;0,04%
fa;206;0,04%
ah;206;0,04%
mente;205;0,04%
meglio;205;0,04%
so;204;0,04%
molti;204;0,04%
stati;201;0,04%
verità;201;0,04%
ormai;200;0,04%
fuori;199;0,04%
sulle;199;0,04%
mondo;198;0,04%
possibile;198;0,04%
attenzione;197;0,04%
completamente;197;0,04%
sopra;196;0,04%
soltanto;195;0,04%
altre;194;0,04%
amico;194;0,04%
vero;193;0,04%
cielo;192;0,04%
dato;189;0,04%
sull;189;0,04%
difficoltà;189;0,04%
ti;189;0,04%
stanza;189;0,04%
mezzo;188;0,04%
de;186;0,04%
oltre;186;0,04%
grado;186;0,04%
signore;186;0,04%
sei;185;0,04%
dello;184;0,04%
cose;184;0,04%
with;184;0,04%
from;182;0,04%
infine;180;0,04%
anima;180;0,04%
her;180;0,04%
alto;179;0,04%
intorno;178;0,04%
abbiamo;176;0,04%
avesse;176;0,04%
persona;175;0,04%
alcuni;175;0,04%
lunga;174;0,04%
fondo;174;0,04%
sud;174;0,04%
quattro;173;0,04%
li;173;0,04%
uomini;173;0,04%
vista;173;0,04%
città;172;0,03%
breve;172;0,03%
forma;172;0,03%
almeno;172;0,03%
poiché;172;0,03%
quei;171;0,03%
nuovo;171;0,03%
occhio;171;0,03%
dio;170;0,03%
nostri;169;0,03%
insieme;168;0,03%
sarà;167;0,03%
natura;167;0,03%
not;167;0,03%
fece;167;0,03%
tu;166;0,03%
volte;165;0,03%
bordo;165;0,03%
amore;164;0,03%
spirito;164;0,03%
luogo;164;0,03%
quelli;164;0,03%
naturalmente;163;0,03%
immediatamente;163;0,03%
far;163;0,03%
on;162;0,03%
vedere;162;0,03%
essa;161;0,03%
is;160;0,03%
infatti;160;0,03%
agli;159;0,03%
stava;157;0,03%
niente;155;0,03%
sebbene;155;0,03%
signora;153;0,03%
contro;153;0,03%
effetto;153;0,03%
presto;153;0,03%
strada;153;0,03%
avere;153;0,03%
abbia;153;0,03%
spesso;152;0,03%
it;152;0,03%
simile;152;0,03%
forza;151;0,03%
sui;149;0,03%
avrei;149;0,03%
vento;149;0,03%
là;147;0,03%
deve;146;0,03%
essi;146;0,03%
avuto;146;0,03%
generale;145;0,03%
bellezza;145;0,03%
esempio;145;0,03%
alcun;145;0,03%
lì;144;0,03%
pensare;144;0,03%
fossero;144;0,03%
impossibile;144;0,03%
capitano;144;0,03%
conto;143;0,03%
alcuna;142;0,03%
posto;141;0,03%
gran;141;0,03%
eravamo;141;0,03%
poesia;140;0,03%
re;140;0,03%
furono;140;0,03%
invece;138;0,03%
semplice;138;0,03%
ombra;138;0,03%
vecchio;138;0,03%
cioè;137;0,03%
nessun;137;0,03%
nessuna;136;0,03%
nello;136;0,03%
venne;136;0,03%
piuttosto;136;0,03%
assolutamente;136;0,03%
augustus;136;0,03%
titolo;135;0,03%
but;135;0,03%
letto;135;0,03%
viene;135;0,03%
sì;135;0,03%
interno;134;0,03%
dice;134;0,03%
posizione;132;0,03%
scopo;132;0,03%
esso;131;0,03%
sole;131;0,03%
potevo;130;0,03%
ragione;130;0,03%
fiume;129;0,03%
adesso;129;0,03%
allo;129;0,03%
peters;129;0,03%
avevamo;128;0,03%
mani;128;0,03%
potrebbe;127;0,03%
fronte;127;0,03%
capo;127;0,03%
tua;126;0,03%
luna;126;0,03%
viaggio;126;0,03%
minuti;126;0,03%
speranza;125;0,03%
causa;125;0,03%
morto;125;0,03%
as;125;0,03%
profondo;125;0,03%
vicino;125;0,03%
pochi;124;0,03%
est;124;0,03%
for;123;0,03%
persone;123;0,03%
te;123;0,03%
specie;122;0,02%
parlare;122;0,02%
ore;122;0,02%
originale;121;0,02%
lettera;121;0,02%
possa;121;0,02%
evidente;121;0,02%
tuo;121;0,02%
pensiero;120;0,02%
sta;120;0,02%
anzi;120;0,02%
versi;120;0,02%
principale;120;0,02%
thy;119;0,02%
strano;119;0,02%
cinque;118;0,02%
braccio;118;0,02%
dissi;118;0,02%
massa;117;0,02%
sera;117;0,02%
comunque;116;0,02%
giovane;116;0,02%
giù;116;0,02%
davanti;116;0,02%
forte;116;0,02%
mille;116;0,02%
piccolo;115;0,02%
isola;115;0,02%
quest;115;0,02%
molte;115;0,02%
pur;114;0,02%
particolare;114;0,02%
sola;114;0,02%
suono;114;0,02%
finché;114;0,02%
davvero;114;0,02%
nostre;114;0,02%
siano;113;0,02%
trovare;112;0,02%
bon;112;0,02%
ovest;112;0,02%
nord;112;0,02%
opera;111;0,02%
new;111;0,02%
sembra;111;0,02%
sguardo;111;0,02%
sé;111;0,02%
terrore;110;0,02%
realtà;109;0,02%
base;109;0,02%
by;109;0,02%
cadavere;109;0,02%
ultimo;108;0,02%
intera;108;0,02%
state;108;0,02%
credo;108;0,02%
racconto;107;0,02%
dentro;107;0,02%
certa;107;0,02%
posso;107;0,02%
qualcuno;107;0,02%
figura;106;0,02%
direzione;106;0,02%
was;106;0,02%
buona;106;0,02%
seguito;106;0,02%
grandi;105;0,02%
orrore;105;0,02%
doveva;105;0,02%
lasciato;105;0,02%
istante;105;0,02%
buon;105;0,02%
espressione;105;0,02%
miglia;105;0,02%
ultima;104;0,02%
gente;103;0,02%
effetti;103;0,02%
bella;103;0,02%
oro;103;0,02%
v;103;0,02%
animale;103;0,02%
potesse;103;0,02%
avanti;103;0,02%
nave;103;0,02%
vascello;103;0,02%
assai;102;0,02%
avrebbero;102;0,02%
sicuro;101;0,02%
siamo;101;0,02%
be;101;0,02%
abbastanza;100;0,02%
oggetto;100;0,02%
circostanze;100;0,02%
p;99;0,02%
fui;99;0,02%
alcune;99;0,02%
perciò;98;0,02%
fin;98;0,02%
donna;98;0,02%
esattamente;98;0,02%
dovuto;98;0,02%
intenzione;98;0,02%
rapidamente;98;0,02%
poeta;97;0,02%
autore;97;0,02%
trovato;97;0,02%
scena;97;0,02%
oggi;97;0,02%
capire;97;0,02%
cassa;96;0,02%
terribile;96;0,02%
angolo;96;0,02%
naturale;96;0,02%
sforzo;95;0,02%
facilmente;95;0,02%
vino;95;0,02%
possono;95;0,02%
trovava;95;0,02%
perfino;94;0,02%
negli;94;0,02%
bocca;94;0,02%
finalmente;94;0,02%
piede;94;0,02%
immaginare;94;0,02%
preso;93;0,02%
tali;93;0,02%
carattere;93;0,02%
dolore;93;0,02%
alta;93;0,02%
necessario;93;0,02%
chiaramente;93;0,02%
cura;92;0,02%
accanto;92;0,02%
unica;92;0,02%
affatto;92;0,02%
madame;92;0,02%
interesse;92;0,02%
particolari;91;0,02%
fuoco;91;0,02%
estremità;91;0,02%
gruppo;91;0,02%
argomento;90;0,02%
va;90;0,02%
silenzio;90;0,02%
ricordo;90;0,02%
dieci;90;0,02%
nemmeno;90;0,02%
comune;89;0,02%
situazione;89;0,02%
york;89;0,02%
piccola;89;0,02%
superficie;89;0,02%
lontano;88;0,02%
sogno;88;0,02%
passo;88;0,02%
simili;88;0,02%
faceva;88;0,02%
passi;88;0,02%
grosso;88;0,02%
numero;88;0,02%
ebbe;87;0,02%
marie;87;0,02%
inoltre;87;0,02%
quantità;87;0,02%
motivo;87;0,02%
sillabe;87;0,02%
poliziano;86;0,02%
principio;86;0,02%
inglese;86;0,02%
male;86;0,02%
eppure;86;0,02%
sarebbero;86;0,02%
sa;85;0,02%
periodo;85;0,02%
seconda;85;0,02%
dare;85;0,02%
sangue;85;0,02%
avessi;85;0,02%
faccia;85;0,02%
are;85;0,02%
castiglione;85;0,02%
dunque;84;0,02%
lunghezza;84;0,02%
sarei;84;0,02%
vidi;84;0,02%
unico;84;0,02%
improvvisamente;84;0,02%
conte;84;0,02%
pure;83;0,02%
questione;83;0,02%
tal;83;0,02%
condizioni;83;0,02%
serie;83;0,02%
tentativo;83;0,02%
mattino;83;0,02%
veramente;83;0,02%
riuscito;83;0,02%
dietro;83;0,02%
rispose;83;0,02%
sette;83;0,02%
tono;83;0,02%
brigantino;83;0,02%
sembrò;82;0,02%
pallone;82;0,02%
libro;82;0,02%
love;82;0,02%
certamente;82;0,02%
avendo;82;0,02%
colpo;82;0,02%
possibilità;82;0,02%
conseguenza;82;0,02%
distanza;82;0,02%
naso;82;0,02%
dolce;82;0,02%
they;81;0,02%
folla;81;0,02%
movimento;81;0,02%
gioia;81;0,02%
andare;81;0,02%
sillaba;81;0,02%
sinistra;81;0,02%
soprattutto;80;0,02%
sonno;80;0,02%
anno;80;0,02%
materia;80;0,02%
piacere;80;0,02%
difficile;80;0,02%
dico;80;0,02%
cadde;80;0,02%
amici;80;0,02%
conoscenza;80;0,02%
atmosfera;80;0,02%
ponte;80;0,02%
tipo;79;0,02%
benché;79;0,02%
nero;79;0,02%
aiuto;79;0,02%
proposito;78;0,02%
umana;78;0,02%
maggior;78;0,02%
passaggio;78;0,02%
chiaro;78;0,02%
hai;78;0,02%
their;78;0,02%
moglie;77;0,02%
risposta;77;0,02%
barca;77;0,02%
this;77;0,02%
risultato;76;0,02%
maggiore;76;0,02%
intero;76;0,02%
lavoro;76;0,02%
propria;76;0,02%
dupin;76;0,02%
have;76;0,02%
storia;76;0,02%
his;76;0,02%
