il;1833;3,34%
di;1584;2,88%
e;1480;2,69%
la;1125;2,05%
che;932;1,70%
un;911;1,66%
non;847;1,54%
a;785;1,43%
in;682;1,24%
era;676;1,23%
l;567;1,03%
si;551;1,00%
i;544;0,99%
io;530;0,96%
per;518;0,94%
le;512;0,93%
del;455;0,83%
una;450;0,82%
con;420;0,76%
mi;393;0,72%
gli;360;0,66%
al;345;0,63%
egli;344;0,63%
ma;340;0,62%
della;320;0,58%
pi;285;0,52%
da;272;0,50%
battaglione;260;0,47%
noi;259;0,47%
d;258;0,47%
generale;252;0,46%
lo;251;0,46%
ci;219;0,40%
aveva;205;0,37%
alla;194;0,35%
come;188;0,34%
erano;177;0,32%
dei;176;0,32%
se;167;0,30%
soldati;161;0,29%
comandante;158;0,29%
s;141;0,26%
tutti;140;0,25%
guerra;139;0,25%
tenente;139;0,25%
anche;138;0,25%
due;138;0,25%
trincea;133;0,24%
senza;132;0,24%
maggiore;132;0,24%
capitano;124;0,23%
ne;122;0,22%
colonnello;122;0,22%
compagnia;122;0,22%
ed;121;0,22%
mio;119;0,22%
suo;119;0,22%
all;116;0,21%
ancora;116;0,21%
solo;115;0,21%
delle;112;0,20%
ad;110;0,20%
comando;108;0,20%
nella;101;0,18%
linea;101;0,18%
fra;99;0,18%
sono;99;0,18%
dopo;97;0,18%
cos;97;0,18%
fronte;96;0,17%
dal;94;0,17%
ai;93;0,17%
sua;93;0,17%
ora;93;0,17%
fu;93;0,17%
ho;90;0,16%
nel;90;0,16%
austriaci;90;0,16%
stato;89;0,16%
dalla;89;0,16%
prima;88;0,16%
giorno;87;0,16%
essere;87;0,16%
me;87;0,16%
trincee;86;0,16%
sempre;86;0,16%
soldato;86;0,16%
avevo;84;0,15%
alle;84;0,15%
qualche;84;0,15%
dell;84;0,15%
su;82;0,15%
loro;81;0,15%
lei;81;0,15%
sul;80;0,15%
perch;80;0,15%
vi;79;0,14%
quando;78;0,14%
ordine;78;0,14%
disse;77;0,14%
ufficiali;76;0,14%
altro;75;0,14%
ufficiale;75;0,14%
notte;74;0,13%
signor;74;0,13%
o;73;0,13%
sulla;72;0,13%
reggimento;72;0,13%
mia;71;0,13%
nostra;70;0,13%
uno;70;0,13%
quel;69;0,13%
ha;68;0,12%
tutto;68;0,12%
monte;68;0,12%
cognac;67;0,12%
quella;66;0,12%
ottolenghi;66;0,12%
brigata;64;0,12%
ero;63;0,11%
testa;63;0,11%
nostri;63;0,11%
fosse;62;0,11%
nostre;62;0,11%
assalto;62;0,11%
cui;61;0,11%
mano;61;0,11%
fatto;60;0,11%
sotto;60;0,11%
tutta;60;0,11%
vita;60;0,11%
lui;59;0,11%
gi;58;0,11%
dall;58;0,11%
nostro;58;0,11%
azione;58;0,11%
occhi;58;0,11%
anch;58;0,11%
voce;56;0,10%
avevano;56;0,10%
eravamo;56;0,10%
rispose;55;0,10%
volta;54;0,10%
nemiche;54;0,10%
altri;54;0,10%
feritoia;54;0,10%
v;53;0,10%
mai;53;0,10%
ogni;53;0,10%
terra;53;0,10%
stesso;53;0,10%
nemico;52;0,09%
verso;52;0,09%
tiro;51;0,09%
n;50;0,09%
parte;50;0,09%
grande;50;0,09%
artiglieria;50;0,09%
dissi;50;0,09%
mitragliatrici;50;0,09%
reticolati;49;0,09%
sull;48;0,09%
divisione;48;0,09%
reparti;48;0,09%
tempo;48;0,09%
fucile;48;0,09%
contro;48;0,09%
avellini;48;0,09%
fare;47;0,09%
metri;47;0,09%
questo;45;0,08%
fino;45;0,08%
suoi;45;0,08%
no;45;0,08%
nelle;44;0,08%
uomo;44;0,08%
fuoco;44;0,08%
c;44;0,08%
tu;44;0,08%
riposo;43;0,08%
piedi;43;0,08%
vicino;43;0,08%
settore;43;0,08%
quello;42;0,08%
pochi;42;0,08%
dietro;42;0,08%
chiese;42;0,08%
destra;42;0,08%
bene;42;0,08%
altra;41;0,07%
fece;41;0,07%
sui;41;0,07%
niente;41;0,07%
sarebbe;40;0,07%
avevamo;40;0,07%
dalle;40;0,07%
ch;40;0,07%
giorni;40;0,07%
fior;40;0,07%
lungo;39;0,07%
questa;39;0,07%
servizio;39;0,07%
attorno;39;0,07%
degli;39;0,07%
cosa;39;0,07%
indietro;39;0,07%
terreno;39;0,07%
tanto;39;0,07%
sergente;38;0,07%
subito;37;0,07%
mani;37;0,07%
nessuno;37;0,07%
neppure;37;0,07%
li;36;0,07%
essi;36;0,07%
sulle;36;0,07%
hanno;36;0,07%
qui;36;0,07%
certo;35;0,06%
