di;6399;3,05%
e;6133;2,93%
che;5203;2,48%
il;3945;1,88%
la;3799;1,81%
un;3450;1,65%
a;3365;1,61%
non;2816;1,34%
in;2634;1,26%
si;2336;1,12%
una;2039;0,97%
è;2029;0,97%
per;2007;0,96%
i;1963;0,94%
l;1792;0,86%
ma;1639;0,78%
le;1615;0,77%
del;1474;0,70%
era;1428;0,68%
con;1387;0,66%
mi;1317;0,63%
come;1264;0,60%
della;1205;0,58%
da;1168;0,56%
gli;972;0,46%
se;954;0,46%
lo;906;0,43%
o;879;0,42%
dei;873;0,42%
aveva;851;0,41%
al;848;0,40%
sono;758;0,36%
perché;735;0,35%
più;696;0,33%
nel;673;0,32%
belbo;656;0,31%
ci;630;0,30%
alla;611;0,29%
ha;583;0,28%
d;514;0,25%
anche;492;0,23%
poi;482;0,23%
dell;481;0,23%
io;458;0,22%
delle;450;0,21%
c;431;0,21%
solo;424;0,20%
ho;422;0,20%
cosa;410;0,20%
erano;404;0,19%
loro;394;0,19%
disse;379;0,18%
tutto;372;0,18%
ne;370;0,18%
questo;370;0,18%
così;358;0,17%
tutti;357;0,17%
quel;355;0,17%
cui;350;0,17%
due;346;0,17%
tra;345;0,16%
dove;345;0,16%
suo;334;0,16%
essere;331;0,16%
sul;323;0,15%
su;315;0,15%
ora;314;0,15%
lei;312;0,15%
dal;311;0,15%
chi;310;0,15%
ancora;305;0,15%
sua;305;0,15%
templari;305;0,15%
nella;303;0,14%
all;294;0,14%
lui;293;0,14%
quello;286;0,14%
ai;284;0,14%
prima;283;0,14%
forse;282;0,13%
de;281;0,13%
dopo;281;0,13%
altro;280;0,13%
ti;279;0,13%
quando;277;0,13%
detto;277;0,13%
uno;276;0,13%
n;272;0,13%
quella;268;0,13%
stato;264;0,13%
me;261;0,12%
senza;259;0,12%
fatto;258;0,12%
avevo;255;0,12%
fa;253;0,12%
fosse;252;0,12%
dalla;251;0,12%
anni;238;0,11%
agliè;236;0,11%
questa;232;0,11%
storia;226;0,11%
mondo;225;0,11%
diotallevi;223;0,11%
ogni;220;0,11%
qui;218;0,10%
degli;216;0,10%
sulla;208;0,10%
no;208;0,10%
già;207;0,10%
segreto;205;0,10%
allora;203;0,10%
sempre;201;0,10%
qualche;200;0,10%
sei;200;0,10%
altri;199;0,09%
dice;198;0,09%
mio;197;0,09%
avevano;194;0,09%
piano;193;0,09%
ed;193;0,09%
mai;189;0,09%
ero;189;0,09%
sotto;187;0,09%
dire;186;0,09%
mentre;185;0,09%
stava;185;0,09%
certo;182;0,09%
sia;181;0,09%
parte;180;0,09%
suoi;179;0,09%
li;177;0,08%
mia;174;0,08%
ad;173;0,08%
avrebbe;170;0,08%
tempo;170;0,08%
col;168;0,08%
rosa;166;0,08%
so;166;0,08%
croce;166;0,08%
volta;164;0,08%
nell;164;0,08%
poco;164;0,08%
ormai;163;0,08%
bene;163;0,08%
noi;162;0,08%
punto;161;0,08%
terra;161;0,08%
tu;161;0,08%
alle;160;0,08%
altra;160;0,08%
verso;159;0,08%
hanno;159;0,08%
giorno;156;0,07%
garamond;156;0,07%
grande;155;0,07%
sera;154;0,07%
diceva;153;0,07%
vi;153;0,07%
proprio;149;0,07%
qualcosa;148;0,07%
sarebbe;147;0,07%
lorenza;145;0,07%
fare;143;0,07%
dio;143;0,07%
p;142;0,07%
mano;142;0,07%
sa;142;0,07%
dall;141;0,07%
casa;141;0,07%
caso;141;0,07%
visto;141;0,07%
qualcuno;138;0,07%
tutte;135;0,06%
h;134;0,06%
dai;133;0,06%
vero;132;0,06%
nei;132;0,06%
modo;132;0,06%
vita;129;0,06%
ordine;128;0,06%
può;128;0,06%
nulla;127;0,06%
san;127;0,06%
pendolo;125;0,06%
via;123;0,06%
momento;122;0,06%
tre;120;0,06%
u;118;0,06%
occhi;118;0,06%
quasi;118;0,06%
ecco;117;0,06%
nelle;117;0,06%
parigi;116;0,06%
cose;114;0,05%
alcuni;113;0,05%
fu;112;0,05%
aver;112;0,05%
quelli;112;0,05%
re;112;0,05%
quelle;111;0,05%
subito;110;0,05%
sino;110;0,05%
sue;108;0,05%
viene;108;0,05%
libro;107;0,05%
stesso;107;0,05%
siamo;107;0,05%
m;105;0,05%
dalle;105;0,05%
r;105;0,05%
sui;105;0,05%
credo;105;0,05%
fronte;104;0,05%
questi;103;0,05%
coi;103;0,05%
giorni;103;0,05%
troppo;103;0,05%
abbiamo;102;0,05%
sta;102;0,05%
dissi;102;0,05%
quei;102;0,05%
secondo;102;0,05%
t;100;0,05%
avesse;100;0,05%
va;100;0,05%
fuori;100;0,05%
nome;100;0,05%
trovato;98;0,05%
sì;98;0,05%
tutta;97;0,05%
lì;96;0,05%
sapere;96;0,05%
verità;95;0,05%
quell;94;0,04%
quanto;94;0,04%
notte;94;0,04%
gran;94;0,04%
potuto;93;0,04%
nessuno;93;0,04%
molto;93;0,04%
doveva;93;0,04%
deve;92;0,04%
messaggio;92;0,04%
tanto;91;0,04%
primo;91;0,04%
senso;91;0,04%
lungo;90;0,04%
quale;90;0,04%
oro;90;0,04%
poteva;89;0,04%
nostro;89;0,04%
colonnello;89;0,04%
te;88;0,04%
stata;87;0,04%
luce;87;0,04%
meglio;87;0,04%
quindi;86;0,04%
fine;86;0,04%
mani;86;0,04%
des;85;0,04%
gente;85;0,04%
vuole;85;0,04%
chiese;85;0,04%
nuovo;84;0,04%
invece;84;0,04%
libri;84;0,04%
luogo;83;0,04%
testa;82;0,04%
uomo;82;0,04%
sulle;82;0,04%
templare;82;0,04%
queste;81;0,04%
far;81;0,04%
tempio;80;0,04%
cavalieri;80;0,04%
agli;80;0,04%
miei;80;0,04%
intorno;78;0,04%
egli;78;0,04%
fondo;78;0,04%
v;78;0,04%
vedere;77;0,04%
avrei;77;0,04%
tempi;77;0,04%
signor;77;0,04%
voi;76;0,04%
et;76;0,04%
hai;76;0,04%
anno;76;0,04%
neppure;75;0,04%
davanti;75;0,04%
sull;75;0,04%
stessa;75;0,04%
almeno;75;0,04%
aria;74;0,04%
corpo;74;0,04%
amparo;74;0,04%
essi;73;0,03%
jacopo;72;0,03%
sarà;72;0,03%
provins;72;0,03%
scritto;71;0,03%
centro;71;0,03%
altre;71;0,03%
voleva;71;0,03%
oh;71;0,03%
male;71;0,03%
lettere;71;0,03%
tromba;71;0,03%
porta;70;0,03%
là;70;0,03%
conto;70;0,03%
contro;70;0,03%
città;70;0,03%
trovare;70;0,03%
mente;69;0,03%
dunque;69;0,03%
lia;69;0,03%
dico;69;0,03%
saint;68;0,03%
posto;68;0,03%
dieci;68;0,03%
voce;68;0,03%
casaubon;68;0,03%
dee;68;0,03%
sopra;67;0,03%
meno;67;0,03%
andare;67;0,03%
stati;67;0,03%
stavo;67;0,03%
numero;66;0,03%
vecchio;66;0,03%
però;66;0,03%
conte;66;0,03%
pare;66;0,03%
fece;66;0,03%
forma;65;0,03%
macchina;65;0,03%
nostra;65;0,03%
mappa;65;0,03%
parola;65;0,03%
idea;65;0,03%
bramanti;65;0,03%
appena;64;0,03%
fossero;63;0,03%
dato;63;0,03%
capito;63;0,03%
acqua;63;0,03%
opera;62;0,03%
gioco;62;0,03%
sapeva;62;0,03%
signori;61;0,03%
ultimo;61;0,03%
grandi;61;0,03%
bella;61;0,03%
oggi;61;0,03%
letto;61;0,03%
dovuto;60;0,03%
parlare;60;0,03%
pietra;60;0,03%
davvero;60;0,03%
tuo;60;0,03%
quattro;59;0,03%
né;59;0,03%
colpo;59;0,03%
secoli;59;0,03%
faccia;59;0,03%
buona;59;0,03%
ebrei;59;0,03%
dottor;59;0,03%
mezzo;58;0,03%
attraverso;58;0,03%
abbia;58;0,03%
voglio;58;0,03%
sole;57;0,03%
insieme;57;0,03%
basta;57;0,03%
parole;57;0,03%
piedi;57;0,03%
contatto;57;0,03%
s;57;0,03%
testo;57;0,03%
sette;57;0,03%
segreti;57;0,03%
graal;57;0,03%
gesuiti;57;0,03%
ciò;56;0,03%
alto;56;0,03%
volte;56;0,03%
stavano;56;0,03%
avrebbero;56;0,03%
insomma;56;0,03%
messo;55;0,03%
ardenti;55;0,03%
cuore;54;0,03%
certamente;54;0,03%
secolo;54;0,03%
negli;54;0,03%
lettera;54;0,03%
molti;54;0,03%
maestro;54;0,03%
iniziato;54;0,03%
capo;53;0,03%
avevamo;53;0,03%
dello;53;0,03%
germano;53;0,03%
leggere;53;0,03%
faceva;53;0,03%
amore;53;0,03%
manuzio;53;0,03%
universo;52;0,02%
ben;52;0,02%
avanti;52;0,02%
alcune;52;0,02%
francia;52;0,02%
gruppo;51;0,02%
parla;51;0,02%
sapevo;50;0,02%
chiesa;50;0,02%
vede;50;0,02%
preso;50;0,02%
signore;50;0,02%
dietro;50;0,02%
adesso;50;0,02%
dagli;49;0,02%
avuto;49;0,02%
rito;49;0,02%
salon;49;0,02%
ragione;48;0,02%
sinistra;48;0,02%
volto;48;0,02%
pilade;48;0,02%
sembrava;48;0,02%
avere;48;0,02%
zio;48;0,02%
eravamo;48;0,02%
capelli;48;0,02%
ingolf;48;0,02%
pochi;47;0,02%
dovevo;47;0,02%
sala;47;0,02%
accanto;47;0,02%
abulafia;47;0,02%
trentasei;47;0,02%
amico;47;0,02%
x;47;0,02%
bianco;47;0,02%
wagner;47;0,02%
correnti;47;0,02%
passato;46;0,02%
sembra;46;0,02%
guerra;46;0,02%
chiesto;46;0,02%
appuntamento;46;0,02%
polizia;45;0,02%
potere;45;0,02%
fanno;45;0,02%
sanno;45;0,02%
pensare;44;0,02%
siano;44;0,02%
capire;44;0,02%
milano;44;0,02%
padre;44;0,02%
anzi;43;0,02%
sguardo;43;0,02%
signora;43;0,02%
mattina;43;0,02%
mie;43;0,02%
forza;43;0,02%
ricordo;43;0,02%
ufficio;43;0,02%
lavoro;43;0,02%
chiama;43;0,02%
gerusalemme;43;0,02%
molte;43;0,02%
cielo;43;0,02%
morte;43;0,02%
siccome;42;0,02%
infatti;42;0,02%
potrebbe;42;0,02%
gruppi;42;0,02%
bacone;42;0,02%
nuova;42;0,02%
inizio;42;0,02%
bisogna;42;0,02%
segreta;42;0,02%
sto;42;0,02%
prendere;42;0,02%
uomini;42;0,02%
chiaro;42;0,02%
unico;41;0,02%
dentro;41;0,02%
morto;41;0,02%
sai;41;0,02%
les;41;0,02%
voluto;41;0,02%
avete;41;0,02%
ore;40;0,02%
complotto;40;0,02%
abbastanza;40;0,02%
entra;40;0,02%
sarebbero;40;0,02%
specie;40;0,02%
cinque;40;0,02%
altrimenti;40;0,02%
bello;40;0,02%
nello;40;0,02%
prova;40;0,02%
santo;40;0,02%
ce;40;0,02%
vidi;39;0,02%
filo;39;0,02%
credere;39;0,02%
pure;39;0,02%
incontro;39;0,02%
parlava;39;0,02%
tradizione;39;0,02%
buon;39;0,02%
spalle;39;0,02%
bar;39;0,02%
trova;39;0,02%
amici;39;0,02%
persone;39;0,02%
società;39;0,02%
primi;38;0,02%
venuto;38;0,02%
giro;38;0,02%
rue;38;0,02%
niente;38;0,02%
tavolo;38;0,02%
fai;38;0,02%
seconda;38;0,02%
cavaliere;38;0,02%
quali;38;0,02%
chiesi;38;0,02%
sangue;38;0,02%
epoca;38;0,02%
errore;37;0,02%
destra;37;0,02%
naturale;37;0,02%
scienza;37;0,02%
dicevo;37;0,02%
tua;37;0,02%
guarda;37;0,02%
tardi;37;0,02%
unica;37;0,02%
posso;37;0,02%
magari;37;0,02%
linea;37;0,02%
miliardi;37;0,02%
castello;37;0,02%
dicono;37;0,02%
massoneria;37;0,02%
andato;37;0,02%
cercare;37;0,02%
manifesti;37;0,02%
diabolici;37;0,02%
natura;36;0,02%
vuoto;36;0,02%
francese;36;0,02%
naturalmente;36;0,02%
autore;36;0,02%
europa;36;0,02%
immagine;36;0,02%
angolo;36;0,02%
bisogno;36;0,02%
sola;36;0,02%
nero;36;0,02%
chissà;36;0,02%
serio;36;0,02%
torre;36;0,02%
ah;36;0,02%
strada;36;0,02%
carlo;36;0,02%
tale;36;0,02%
spirito;36;0,02%
qualsiasi;35;0,02%
pomeriggio;35;0,02%
case;35;0,02%
donna;35;0,02%
serpente;35;0,02%
finalmente;35;0,02%
cerca;35;0,02%
corso;35;0,02%
bocca;35;0,02%
ovvero;35;0,02%
crede;35;0,02%
dà;35;0,02%
bianca;35;0,02%
parlato;35;0,02%
mistico;35;0,02%
probabilmente;35;0,02%
postel;35;0,02%
materia;34;0,02%
laggiù;34;0,02%
martin;34;0,02%
essa;34;0,02%
ragazza;34;0,02%
passo;34;0,02%
occhio;34;0,02%
progetto;34;0,02%
sale;34;0,02%
fatti;34;0,02%
superiori;34;0,02%
piccolo;34;0,02%
ultima;34;0,02%
avessero;34;0,02%
arrivato;34;0,02%
vera;34;0,02%
lasciato;34;0,02%
parti;34;0,02%
pareva;34;0,02%
terzo;34;0,02%
the;34;0,02%
du;34;0,02%
ultimi;33;0,02%
istante;33;0,02%
facevano;33;0,02%
resto;33;0,02%
saputo;33;0,02%
alta;33;0,02%
sorta;33;0,02%
misteri;33;0,02%
sophia;33;0,02%
debbo;33;0,02%
uscire;33;0,02%
deciso;33;0,02%
diventare;33;0,02%
diventa;33;0,02%
cultura;33;0,02%
scrive;33;0,02%
silenzio;33;0,02%
carta;33;0,02%
inglese;33;0,02%
agarttha;32;0,02%
dicendo;32;0,02%
memoria;32;0,02%
allo;32;0,02%
barba;32;0,02%
pagine;32;0,02%
tanti;32;0,02%
andiamo;32;0,02%
dica;32;0,02%
intanto;32;0,02%
pensiero;32;0,02%
veniva;32;0,02%
fuoco;32;0,02%
scrivere;32;0,02%
gloria;32;0,02%
nostre;32;0,02%
stare;32;0,02%
tratta;32;0,02%
mette;32;0,02%
autori;32;0,02%
francesi;32;0,02%
banda;32;0,02%
est;32;0,02%
metalli;32;0,02%
fossi;31;0,01%
infine;31;0,01%
basso;31;0,01%
paura;31;0,01%
possono;31;0,01%
cercando;31;0,01%
successo;31;0,01%
nomi;31;0,01%
lontano;31;0,01%
fra;31;0,01%
avessi;31;0,01%
processo;31;0,01%
ragioni;31;0,01%
parve;31;0,01%
sentivo;31;0,01%
angelis;31;0,01%
potevano;31;0,01%
dovrebbe;31;0,01%
braccia;31;0,01%
labbra;31;0,01%
lingua;31;0,01%
nostri;31;0,01%
tipo;31;0,01%
caro;31;0,01%
stupido;31;0,01%
passa;31;0,01%
fratelli;31;0,01%
don;31;0,01%
sfera;30;0,01%
finale;30;0,01%
potevo;30;0,01%
giusto;30;0,01%
scoperto;30;0,01%
minuti;30;0,01%
vecchia;30;0,01%
po;30;0,01%
vicino;30;0,01%
lato;30;0,01%
principio;30;0,01%
capisce;30;0,01%
sentito;30;0,01%
problema;30;0,01%
eppure;30;0,01%
vista;30;0,01%
terza;30;0,01%
salvo;30;0,01%
esempio;30;0,01%
partigiani;30;0,01%
persino;30;0,01%
ciascuno;30;0,01%
coloro;30;0,01%
cristo;30;0,01%
debbono;30;0,01%
papa;30;0,01%
molay;30;0,01%
com;29;0,01%
principe;29;0,01%
passare;29;0,01%
conservatoire;29;0,01%
oltre;29;0,01%
stesse;29;0,01%
controllo;29;0,01%
interno;29;0,01%
facendo;29;0,01%
mesi;29;0,01%
of;29;0,01%
madame;29;0,01%
vicenda;28;0,01%
propria;28;0,01%
realtà;28;0,01%
mistero;28;0,01%
sé;28;0,01%
rivelazione;28;0,01%
dita;28;0,01%
