di;1569;3,32%
e;1457;3,08%
che;996;2,11%
a;906;1,92%
il;901;1,91%
la;836;1,77%
un;777;1,64%
in;703;1,49%
non;596;1,26%
è;512;1,08%
l;495;1,05%
si;444;0,94%
una;431;0,91%
per;408;0,86%
le;373;0,79%
del;346;0,73%
con;343;0,73%
i;341;0,72%
d;319;0,68%
ma;296;0,63%
come;280;0,59%
era;265;0,56%
da;262;0,55%
della;248;0,53%
gli;231;0,49%
più;224;0,47%
al;199;0,42%
agilulfo;185;0,39%
lo;181;0,38%
dei;180;0,38%
se;157;0,33%
o;156;0,33%
nel;135;0,29%
sono;135;0,29%
calvino;134;0,28%
s;133;0,28%
alla;132;0,28%
dell;130;0,28%
rambaldo;125;0,26%
c;123;0,26%
mi;123;0,26%
sua;120;0,25%
tutto;119;0,25%
cavaliere;118;0,25%
suo;113;0,24%
ora;113;0,24%
lui;105;0,22%
delle;103;0,22%
così;102;0,22%
io;102;0,22%
quel;101;0,21%
ogni;101;0,21%
anche;100;0,21%
sempre;99;0,21%
su;98;0,21%
nella;88;0,19%
uno;87;0,18%
tra;86;0,18%
poi;86;0,18%
ha;85;0,18%
questo;83;0,18%
gurdulù;82;0,17%
cui;82;0,17%
aveva;81;0,17%
ci;80;0,17%
g;78;0,17%
dal;76;0,16%
all;76;0,16%
ai;75;0,16%
m;74;0,16%
disse;74;0,16%
già;73;0,15%
perché;73;0,15%
cosa;73;0,15%
questa;71;0,15%
loro;71;0,15%
armatura;70;0,15%
ne;70;0,15%
mio;69;0,15%
altro;69;0,15%
ho;68;0,14%
italo;67;0,14%
solo;67;0,14%
qui;66;0,14%
dalla;66;0,14%
tanto;65;0,14%
essere;65;0,14%
sul;65;0,14%
cavallo;65;0,14%
quella;63;0,13%
alle;61;0,13%
mia;61;0,13%
due;60;0,13%
tutti;59;0,12%
torrismondo;59;0,12%
ad;58;0,12%
chi;58;0,12%
prima;57;0,12%
tu;57;0,12%
quando;56;0,12%
giovane;55;0,12%
ancora;55;0,12%
quello;55;0,12%
senza;55;0,12%
uomo;54;0,11%
fa;54;0,11%
altri;52;0,11%
dopo;51;0,11%
anni;51;0,11%
erano;51;0,11%
sulla;50;0,11%
nell;50;0,11%
dove;50;0,11%
mai;49;0,10%
lì;49;0,10%
mondo;48;0,10%
parte;46;0,10%
carlomagno;45;0,10%
vita;45;0,10%
ed;45;0,10%
po;45;0,10%
cavalieri;44;0,09%
verso;44;0,09%
battaglia;44;0,09%
nei;43;0,09%
noi;43;0,09%
voce;42;0,09%
ecco;42;0,09%
voi;42;0,09%
fosse;41;0,09%
né;40;0,08%
via;40;0,08%
vi;40;0,08%
bradamante;39;0,08%
stato;39;0,08%
tutta;39;0,08%
punto;39;0,08%
altra;39;0,08%
dire;38;0,08%
nulla;38;0,08%
sofronia;37;0,08%
può;37;0,08%
terra;37;0,08%
ti;36;0,08%
dall;36;0,08%
allora;36;0,08%
sotto;35;0,07%
gral;35;0,07%
momento;35;0,07%
fare;35;0,07%
degli;35;0,07%
paladini;34;0,07%
priscilla;34;0,07%
einaudi;34;0,07%
milano;34;0,07%
col;34;0,07%
occhi;34;0,07%
forse;34;0,07%
cose;34;0,07%
fuori;33;0,07%
proprio;33;0,07%
mezzo;33;0,07%
nelle;33;0,07%
qualche;33;0,07%
primo;33;0,07%
far;33;0,07%
poco;32;0,07%
volta;32;0,07%
fatto;32;0,07%
pp;32;0,07%
fra;32;0,07%
là;32;0,07%
me;32;0,07%
nome;32;0,07%
avanti;32;0,07%
dice;32;0,07%
egli;32;0,07%
sa;31;0,07%
invece;31;0,07%
sì;31;0,07%
campo;31;0,07%
guerra;31;0,07%
suoi;31;0,07%
ordine;31;0,07%
lei;31;0,07%
p;30;0,06%
contro;30;0,06%
sia;30;0,06%
bianca;30;0,06%
quale;29;0,06%
cura;29;0,06%
donna;29;0,06%
tempo;29;0,06%
re;29;0,06%
viene;28;0,06%
modo;28;0,06%
padre;28;0,06%
esercito;28;0,06%
torino;27;0,06%
scudiero;27;0,06%
adesso;27;0,06%
dalle;27;0,06%
giorno;27;0,06%
strada;27;0,06%
n;27;0,06%
tutte;27;0,06%
mano;27;0,06%
piedi;27;0,06%
spada;27;0,06%
no;27;0,06%
città;26;0,06%
storia;26;0,06%
madre;26;0,06%
stesso;26;0,06%
quelle;26;0,06%
dentro;26;0,06%
elmo;26;0,06%
ben;26;0,06%
intorno;26;0,06%
stava;26;0,06%
libro;25;0,05%
inesistente;25;0,05%
letteratura;25;0,05%
meglio;25;0,05%
anno;25;0,05%
gran;25;0,05%
quei;25;0,05%
insieme;24;0,05%
dietro;24;0,05%
certo;24;0,05%
sera;24;0,05%
ormai;24;0,05%
fece;24;0,05%
imperatore;24;0,05%
quasi;23;0,05%
guerriero;23;0,05%
quelli;23;0,05%
li;23;0,05%
dai;23;0,05%
quell;23;0,05%
oh;23;0,05%
notte;22;0,05%
nuovo;22;0,05%
nostra;22;0,05%
san;22;0,05%
sei;22;0,05%
sull;22;0,05%
questi;22;0,05%
pareva;22;0,05%
esce;22;0,05%
poteva;22;0,05%
bene;22;0,05%
castello;22;0,05%
quanto;22;0,05%
lancia;22;0,05%
zuppa;22;0,05%
sue;21;0,04%
viaggio;21;0,04%
sarebbe;21;0,04%
vedere;21;0,04%
vero;21;0,04%
detto;21;0,04%
avevano;21;0,04%
fu;21;0,04%
anch;21;0,04%
amore;21;0,04%
nessuno;21;0,04%
subito;21;0,04%
mani;21;0,04%
siete;21;0,04%
capo;21;0,04%
niente;21;0,04%
braccia;21;0,04%
armi;21;0,04%
corazza;21;0,04%
argalif;21;0,04%
morto;21;0,04%
ah;21;0,04%
