e;5509;4,20%
di;4304;3,28%
a;2955;2,25%
che;2714;2,07%
un;2320;1,77%
la;2185;1,66%
il;1893;1,44%
in;1880;1,43%
per;1532;1,17%
non;1341;1,02%
una;1338;1,02%
con;1310;1,00%
si;1266;0,96%
era;1210;0,92%
le;990;0,75%
l;872;0,66%
i;868;0,66%
del;855;0,65%
da;843;0,64%
dean;837;0,64%
mi;786;0,60%
è;687;0,52%
della;654;0,50%
ci;647;0,49%
come;604;0,46%
io;586;0,45%
nel;575;0,44%
più;522;0,40%
al;519;0,40%
gli;506;0,39%
tutto;483;0,37%
lo;471;0,36%
nella;428;0,33%
tutti;403;0,31%
lui;383;0,29%
alla;375;0,29%
su;374;0,28%
ma;362;0,28%
quel;351;0,27%
questo;347;0,26%
aveva;345;0,26%
se;333;0,25%
c;320;0,24%
strada;319;0,24%
così;317;0,24%
sul;308;0,23%
loro;298;0,23%
sua;296;0,23%
quando;286;0,22%
disse;284;0,22%
me;283;0,22%
d;279;0,21%
erano;278;0,21%
suo;272;0,21%
all;269;0,20%
macchina;269;0,20%
ne;267;0,20%
mia;266;0,20%
notte;265;0,20%
noi;262;0,20%
mio;255;0,19%
ed;253;0,19%
sono;251;0,19%
solo;243;0,19%
dei;240;0,18%
mentre;240;0,18%
quella;233;0,18%
stava;233;0,18%
fuori;226;0,17%
cosa;226;0,17%
lei;226;0,17%
dell;223;0,17%
poi;219;0,17%
sulla;218;0,17%
casa;218;0,17%
mai;211;0,16%
dove;206;0,16%
delle;205;0,16%
fare;198;0,15%
altro;198;0,15%
dal;196;0,15%
vita;195;0,15%
o;195;0,15%
ogni;193;0,15%
là;191;0,15%
vecchio;189;0,14%
due;185;0,14%
verso;185;0,14%
new;180;0,14%
prima;179;0,14%
adesso;179;0,14%
uno;175;0,13%
fino;174;0,13%
dalla;172;0,13%
ho;172;0,13%
sempre;166;0,13%
ad;165;0,13%
ora;164;0,12%
avevo;163;0,12%
perché;162;0,12%
nell;160;0,12%
andare;155;0,12%
questa;154;0,12%
alle;153;0,12%
senza;153;0,12%
tempo;153;0,12%
denver;153;0,12%
tutta;148;0,11%
proprio;147;0,11%
volta;145;0,11%
davanti;145;0,11%
dietro;145;0,11%
ha;144;0,11%
occhi;144;0,11%
mezzo;143;0,11%
fatto;143;0,11%
fece;141;0,11%
mondo;141;0,11%
marylou;141;0,11%
giù;139;0,11%
dopo;137;0,10%
amico;137;0,10%
anche;136;0,10%
col;136;0,10%
ero;136;0,10%
lungo;135;0,10%
ai;131;0,10%
attraverso;130;0,10%
fu;129;0,10%
parte;129;0,10%
ti;128;0,10%
sal;128;0,10%
vedere;127;0,10%
sotto;126;0,10%
città;125;0,10%
qualche;123;0,09%
york;122;0,09%
quello;118;0,09%
altra;117;0,09%
li;116;0,09%
via;114;0,09%
s;114;0,09%
modo;113;0,09%
cose;112;0,09%
dissi;112;0,09%
ragazzi;111;0,08%
insieme;109;0,08%
stato;108;0,08%
nuovo;106;0,08%
ragazza;106;0,08%
dentro;106;0,08%
remi;105;0,08%
anni;104;0,08%
niente;104;0,08%
nei;104;0,08%
suoi;104;0,08%
nelle;101;0,08%
quale;101;0,08%
stesso;98;0,07%
tu;98;0,07%
tutte;97;0,07%
oh;97;0,07%
momento;96;0,07%
po;95;0,07%
faceva;94;0,07%
giorno;93;0,07%
fosse;91;0,07%
avanti;91;0,07%
sopra;90;0,07%
viaggio;89;0,07%
san;88;0,07%
bar;88;0,07%
carlo;88;0,07%
ragazze;87;0,07%
andammo;87;0,07%
sarebbe;86;0,07%
essere;85;0,06%
indietro;85;0,06%
tanto;84;0,06%
uomo;83;0,06%
gente;83;0,06%
letto;83;0,06%
ragazzo;83;0,06%
qua;83;0,06%
aria;83;0,06%
ancora;82;0,06%
qualcosa;82;0,06%
grande;81;0,06%
america;81;0,06%
avevano;80;0,06%
gran;80;0,06%
cui;80;0,06%
ce;80;0,06%
soldi;80;0,06%
testa;80;0,06%
be;80;0,06%
punto;79;0,06%
pomeriggio;79;0,06%
sue;78;0,06%
parlare;78;0,06%
terry;78;0,06%
dire;77;0,06%
bull;77;0,06%
far;76;0,06%
dall;76;0,06%
mano;75;0,06%
autobus;75;0,06%
sei;75;0,06%
stavano;75;0,06%
sulle;74;0,06%
faccia;74;0,06%
appena;74;0,06%
piedi;74;0,06%
stan;74;0,06%
lavoro;73;0,06%
eravamo;73;0,06%
chilometri;72;0,05%
francisco;71;0,05%
bene;71;0,05%
sole;71;0,05%
vecchia;71;0,05%
egli;70;0,05%
degli;70;0,05%
fra;70;0,05%
altri;70;0,05%
quelle;70;0,05%
paese;70;0,05%
avrebbe;70;0,05%
padre;69;0,05%
stavo;69;0,05%
sera;69;0,05%
dollari;69;0,05%
certo;68;0,05%
quanto;68;0,05%
dunkel;68;0,05%
fa;67;0,05%
accanto;67;0,05%
avevamo;66;0,05%
no;66;0,05%
te;66;0,05%
voleva;66;0,05%
detto;65;0,05%
triste;65;0,05%
tre;64;0,05%
terra;64;0,05%
fine;64;0,05%
hai;64;0,05%
già;63;0,05%
dolce;63;0,05%
diavolo;63;0,05%
so;63;0,05%
nostra;63;0,05%
nessuno;63;0,05%
ah;63;0,05%
questi;62;0,05%
dio;62;0,05%
porta;62;0,05%
giro;62;0,05%
conto;61;0,05%
sentire;61;0,05%
volte;60;0,05%
tratto;60;0,05%
camille;60;0,05%
ore;59;0,04%
quasi;59;0,04%
diceva;59;0,04%
giorni;59;0,04%
alto;59;0,04%
frisco;59;0,04%
troppo;58;0,04%
