di;2727;3,22%
e;2183;2,58%
che;2182;2,58%
la;2022;2,39%
il;1592;1,88%
non;1521;1,80%
a;1472;1,74%
un;1446;1,71%
era;1171;1,38%
in;1170;1,38%
si;1121;1,32%
l;1072;1,27%
una;979;1,16%
le;835;0,99%
con;797;0,94%
per;776;0,92%
è;726;0,86%
aveva;679;0,80%
lei;590;0,70%
del;566;0,67%
gli;552;0,65%
da;499;0,59%
tom;492;0,58%
della;491;0,58%
ma;491;0,58%
i;474;0,56%
come;470;0,55%
lui;465;0,55%
più;435;0,51%
tereza;424;0,50%
lo;403;0,48%
al;402;0,47%
sua;397;0,47%
suo;355;0,42%
se;352;0,42%
loro;290;0,34%
alla;273;0,32%
disse;258;0,30%
quando;254;0,30%
nel;241;0,28%
dell;233;0,28%
perché;224;0,26%
all;218;0,26%
uomo;214;0,25%
essere;205;0,24%
erano;205;0,24%
vita;202;0,24%
sabina;201;0,24%
nella;190;0,22%
amore;186;0,22%
o;178;0,21%
anche;176;0,21%
sono;173;0,20%
quel;170;0,20%
cosa;168;0,20%
c;168;0,20%
quella;164;0,19%
dei;164;0,19%
ha;163;0,19%
prima;161;0,19%
sul;161;0,19%
due;160;0,19%
dal;159;0,19%
così;158;0,19%
poi;156;0,18%
solo;153;0,18%
ancora;149;0,18%
franz;149;0,18%
tra;146;0,17%
dalla;146;0,17%
questo;145;0,17%
volta;143;0,17%
sempre;141;0,17%
tutti;141;0,17%
ci;140;0,17%
uno;140;0,17%
ogni;139;0,16%
tempo;139;0,16%
mai;139;0,16%
delle;136;0,16%
su;136;0,16%
avrebbe;136;0,16%
dove;135;0,16%
corpo;133;0,16%
senza;133;0,16%
giorno;131;0,15%
quale;128;0,15%
occhi;128;0,15%
tutto;125;0,15%
sulla;124;0,15%
proprio;123;0,15%
ne;121;0,14%
ciò;120;0,14%
donna;120;0,14%
voleva;118;0,14%
stato;117;0,14%
già;115;0,14%
madre;114;0,13%
avevano;114;0,13%
quello;113;0,13%
davanti;110;0,13%
karenin;108;0,13%
nulla;108;0,13%
sarebbe;108;0,13%
mi;108;0,13%
allora;107;0,13%
fosse;104;0,12%
stesso;103;0,12%
dopo;101;0,12%
fare;100;0,12%
cui;98;0,12%
sue;97;0,11%
fatto;97;0,11%
altro;96;0,11%
soltanto;96;0,11%
qualcosa;93;0,11%
anni;93;0,11%
casa;92;0,11%
quell;91;0,11%
dall;88;0,10%
suoi;88;0,10%
praga;87;0,10%
fu;85;0,10%
testa;84;0,10%
può;84;0,10%
altra;83;0,10%
mano;83;0,10%
io;82;0,10%
d;82;0,10%
questa;81;0,10%
tanto;80;0,09%
grande;79;0,09%
mondo;79;0,09%
no;79;0,09%
sé;79;0,09%
donne;79;0,09%
ad;78;0,09%
stata;77;0,09%
molto;77;0,09%
dire;76;0,09%
sapeva;76;0,09%
parole;75;0,09%
ai;75;0,09%
nell;74;0,09%
ho;74;0,09%
stava;74;0,09%
forse;74;0,09%
avesse;71;0,08%
poteva;71;0,08%
stessa;71;0,08%
parte;70;0,08%
verso;70;0,08%
ora;70;0,08%
istante;70;0,08%
lì;70;0,08%
modo;69;0,08%
noi;68;0,08%
altri;68;0,08%
nessuno;68;0,08%
tutte;67;0,08%
letto;67;0,08%
voce;67;0,08%
contro;67;0,08%
paura;66;0,08%
via;66;0,08%
insieme;65;0,08%
né;65;0,08%
sotto;65;0,08%
anima;63;0,07%
momento;63;0,07%
nei;63;0,07%
tutta;63;0,07%
nuovo;63;0,07%
gente;63;0,07%
figlio;62;0,07%
accanto;61;0,07%
lungo;61;0,07%
dietro;61;0,07%
sia;60;0,07%
città;60;0,07%
quasi;60;0,07%
viso;60;0,07%
degli;60;0,07%
ed;59;0,07%
sì;58;0,07%
sentiva;58;0,07%
chi;58;0,07%
qualche;56;0,07%
improvviso;56;0,07%
alle;56;0,07%
posto;56;0,07%
qualcuno;55;0,06%
desiderio;55;0,06%
allo;54;0,06%
moglie;54;0,06%
quelle;54;0,06%
andare;53;0,06%
certo;53;0,06%
doveva;52;0,06%
vedere;52;0,06%
quali;52;0,06%
hanno;51;0,06%
fino;51;0,06%
propria;51;0,06%
fine;51;0,06%
padre;51;0,06%
marie;51;0,06%
tre;50;0,06%
giorni;50;0,06%
li;50;0,06%
notte;49;0,06%
chiese;49;0,06%
faceva;49;0,06%
terra;48;0,06%
adesso;48;0,06%
parola;48;0,06%
possibile;48;0,06%
strada;48;0,06%
quanto;47;0,06%
tu;47;0,06%
kitsch;47;0,06%
persone;47;0,06%
dai;47;0,06%
morte;46;0,05%
deve;46;0,05%
poco;46;0,05%
sei;46;0,05%
sembrava;45;0,05%
andò;45;0,05%
paese;45;0,05%
sguardo;45;0,05%
volte;44;0,05%
vedeva;44;0,05%
appartamento;44;0,05%
aver;44;0,05%
detto;44;0,05%
voglia;44;0,05%
bene;44;0,05%
idea;43;0,05%
però;43;0,05%
col;43;0,05%
uomini;43;0,05%
polizia;43;0,05%
claude;43;0,05%
prese;42;0,05%
mentre;42;0,05%
vivere;42;0,05%
redattore;42;0,05%
fa;41;0,05%
fronte;41;0,05%
lavoro;41;0,05%
diceva;41;0,05%
male;41;0,05%
agli;41;0,05%
ti;41;0,05%
invece;41;0,05%
conto;40;0,05%
storia;40;0,05%
caso;40;0,05%
guardava;40;0,05%
porta;40;0,05%
sopra;40;0,05%
vi;39;0,05%
bellezza;39;0,05%
quindi;39;0,05%
immagine;39;0,05%
sentì;39;0,05%
dentro;39;0,05%
parlare;39;0,05%
forte;39;0,05%
dio;39;0,05%
marcia;38;0,04%
vista;38;0,04%
qui;38;0,04%
nessuna;38;0,04%
avere;38;0,04%
es;38;0,04%
sein;38;0,04%
sola;37;0,04%
po;37;0,04%
muss;37;0,04%
alto;36;0,04%
nemmeno;36;0,04%
