e;2987;3,38%
di;2718;3,08%
la;1990;2,25%
che;1731;1,96%
un;1611;1,82%
il;1538;1,74%
non;1475;1,67%
a;1448;1,64%
si;1261;1,43%
una;1054;1,19%
le;994;1,13%
era;908;1,03%
in;889;1,01%
per;849;0,96%
l;751;0,85%
con;626;0,71%
gli;619;0,70%
ma;606;0,69%
è;552;0,62%
i;543;0,61%
aveva;523;0,59%
disse;502;0,57%
da;479;0,54%
juan;478;0,54%
se;441;0,50%
lo;441;0,50%
come;398;0,45%
della;364;0,41%
del;352;0,40%
al;332;0,38%
ci;322;0,36%
mi;312;0,35%
io;291;0,33%
pi;281;0,32%
pritchard;272;0,31%
sua;258;0,29%
signor;248;0,28%
d;247;0,28%
norma;245;0,28%
alla;236;0,27%
occhi;235;0,27%
ho;235;0,27%
c;229;0,26%
nel;226;0,26%
erano;226;0,26%
poi;224;0,25%
ne;221;0,25%
sono;220;0,25%
lei;217;0,25%
avrebbe;215;0,24%
suo;213;0,24%
f;213;0,24%
ora;211;0,24%
gnolo;211;0,24%
cos;203;0,23%
due;199;0,23%
perché;197;0,22%
quando;195;0,22%
sul;193;0,22%
bene;193;0,22%
dei;192;0,22%
ed;190;0,22%
s;189;0,21%
alice;189;0,21%
tutto;185;0,21%
all;183;0,21%
lui;183;0,21%
questo;175;0,20%
o;175;0,20%
cosa;175;0,20%
mai;169;0,19%
anche;168;0,19%
quel;165;0,19%
mildred;165;0,19%
quello;163;0,18%
poteva;160;0,18%
delle;155;0,18%
nella;152;0,17%
prima;151;0,17%
su;149;0,17%
vi;148;0,17%
quella;146;0,17%
ad;143;0,16%
ha;142;0,16%
uno;141;0,16%
camille;139;0,16%
fuori;137;0,16%
allora;137;0,16%
strada;136;0,15%
sempre;135;0,15%
autobus;134;0,15%
ernest;132;0,15%
dell;131;0,15%
sulla;130;0,15%
poco;129;0,15%
dalla;128;0,14%
dal;125;0,14%
fare;125;0,14%
voi;122;0,14%
sotto;119;0,13%
no;119;0,13%
altro;118;0,13%
ti;118;0,13%
stava;118;0,13%
questa;117;0,13%
mano;117;0,13%
ragazza;117;0,13%
loro;116;0,13%
sarebbe;116;0,13%
proprio;115;0,13%
lu;114;0,13%
fatto;113;0,13%
forse;110;0,12%
me;110;0,12%
molto;109;0,12%
sapeva;106;0,12%
tutti;105;0,12%
modo;104;0,12%
altra;99;0,11%
rispose;99;0,11%
parte;98;0,11%
tanto;98;0,11%
dietro;97;0,11%
po;97;0,11%
uomo;96;0,11%
essere;96;0,11%
qualche;95;0,11%
ancora;93;0,11%
signora;93;0,11%
mentre;93;0,11%
suoi;92;0,10%
