di;10156;3,47%
che;7950;2,71%
e;7286;2,49%
la;5658;1,93%
un;5439;1,86%
a;5225;1,78%
non;5081;1,74%
il;4938;1,69%
era;3791;1,29%
in;3678;1,26%
si;3430;1,17%
per;3047;1,04%
una;2873;0,98%
con;2434;0,83%
è;2354;0,80%
ma;2328;0,79%
le;2281;0,78%
l;2231;0,76%
aveva;2080;0,71%
gli;1906;0,65%
lo;1827;0,62%
da;1821;0,62%
del;1633;0,56%
come;1620;0,55%
se;1570;0,54%
i;1565;0,53%
della;1407;0,48%
più;1400;0,48%
al;1049;0,36%
mi;1013;0,35%
sua;897;0,31%
c;876;0,30%
suo;864;0,30%
quando;841;0,29%
nel;785;0,27%
alla;777;0,27%
erano;755;0,26%
perché;732;0,25%
o;729;0,25%
lei;710;0,24%
sono;708;0,24%
anche;706;0,24%
solo;692;0,24%
ho;691;0,24%
sam;676;0,23%
cosa;664;0,23%
lui;661;0,23%
ci;658;0,22%
ha;653;0,22%
quella;648;0,22%
prima;643;0,22%
così;637;0,22%
io;631;0,22%
quel;621;0,21%
all;603;0,21%
stato;587;0,20%
quello;576;0,20%
nella;571;0,19%
poi;567;0,19%
ancora;563;0,19%
ne;555;0,19%
occhi;544;0,19%
dei;535;0,18%
uno;533;0,18%
avrebbe;529;0,18%
tutto;528;0,18%
sul;518;0,18%
cui;513;0,18%
fosse;510;0,17%
brian;502;0,17%
mai;494;0,17%
mort;488;0,17%
due;482;0,16%
dell;478;0,16%
ora;471;0,16%
questo;471;0,16%
su;468;0,16%
molto;461;0,16%
tutti;456;0,16%
essere;455;0,16%
sarebbe;436;0,15%
no;433;0,15%
volta;427;0,15%
dal;426;0,15%
qualcosa;425;0,15%
loro;423;0,14%
testa;419;0,14%
fatto;416;0,14%
niente;416;0,14%
nick;415;0,14%
sulla;414;0,14%
kevin;413;0,14%
ti;412;0,14%
pop;411;0,14%
delle;405;0,14%
sì;402;0,14%
d;394;0,13%
mano;386;0,13%
forse;380;0,13%
dalla;380;0,13%
altro;378;0,13%
dopo;375;0,13%
qualche;371;0,13%
tempo;369;0,13%
albert;365;0,12%
voce;363;0,12%
disse;363;0,12%
fu;357;0,12%
shooter;357;0,12%
rispose;353;0,12%
casa;345;0,12%
nuovo;345;0,12%
me;342;0,12%
già;334;0,11%
sempre;330;0,11%
quasi;329;0,11%
questa;327;0,11%
sotto;325;0,11%
senza;324;0,11%
biblioteca;324;0,11%
bene;323;0,11%
mentre;321;0,11%
parte;316;0,11%
momento;308;0,11%
fare;307;0,10%
dove;306;0,10%
signor;305;0,10%
avesse;304;0,10%
suoi;297;0,10%
credo;296;0,10%
stava;286;0,10%
dave;285;0,10%
ad;283;0,10%
altra;282;0,10%
visto;281;0,10%
uomo;281;0,10%
fuori;280;0,10%
anni;278;0,09%
stesso;275;0,09%
hai;275;0,09%
alle;268;0,09%
verso;268;0,09%
laurel;264;0,09%
quanto;257;0,09%
craig;257;0,09%
dire;256;0,09%
sia;255;0,09%
fece;255;0,09%
po;251;0,09%
allora;251;0,09%
nell;250;0,09%
adesso;249;0,09%
aver;249;0,09%
tu;244;0,08%
naomi;240;0,08%
macchina;238;0,08%
dinah;238;0,08%
qui;236;0,08%
quell;235;0,08%
detto;233;0,08%
dietro;232;0,08%
pensò;232;0,08%
so;230;0,08%
lì;228;0,08%
mia;226;0,08%
mio;224;0,08%
vero;221;0,08%
mani;218;0,07%
amy;218;0,07%
poco;217;0,07%
quelle;213;0,07%
sue;211;0,07%
nemmeno;211;0,07%
mente;207;0,07%
sei;207;0,07%
stata;205;0,07%
dall;202;0,07%
via;201;0,07%
li;200;0,07%
ed;198;0,07%
porta;197;0,07%
sapeva;196;0,07%
cominciò;196;0,07%
delevan;195;0,07%
ai;193;0,07%
altri;192;0,07%
aereo;191;0,07%
davanti;190;0,06%
faccia;189;0,06%
avevano;188;0,06%
meglio;188;0,06%
sembrava;187;0,06%
posto;186;0,06%
tre;185;0,06%
troppo;185;0,06%
sentì;184;0,06%
voglio;179;0,06%
bob;179;0,06%
ardelia;178;0,06%
vita;177;0,06%
vedere;175;0,06%
tanto;175;0,06%
avuto;175;0,06%
bocca;173;0,06%
fa;172;0,06%
chi;172;0,06%
vide;171;0,06%
nessuno;171;0,06%
mondo;166;0,06%
quale;166;0,06%
punto;166;0,06%
tutte;165;0,06%
probabilmente;165;0,06%
cane;165;0,06%
almeno;164;0,06%
fino;163;0,06%
ogni;162;0,06%
però;162;0,06%
sentiva;162;0,06%
proprio;161;0,05%
meno;161;0,05%
tutta;161;0,05%
sapere;160;0,05%
sta;160;0,05%
paura;160;0,05%
degli;159;0,05%
john;158;0,05%
padre;158;0,05%
può;156;0,05%
bethany;156;0,05%
quei;154;0,05%
libri;154;0,05%
fra;154;0,05%
chiese;154;0,05%
dentro;151;0,05%
avevo;150;0,05%
appena;149;0,05%
potuto;149;0,05%
andare;148;0,05%
te;148;0,05%
idea;147;0,05%
siamo;146;0,05%
abbastanza;146;0,05%
bisogno;145;0,05%
nelle;144;0,05%
aria;144;0,05%
invece;142;0,05%
nei;140;0,05%
vi;140;0,05%
toomy;140;0,05%
poliziotto;140;0,05%
foto;139;0,05%
secondo;138;0,05%
modo;138;0,05%
fondo;138;0,05%
quelli;137;0,05%
né;137;0,05%
terra;136;0,05%
giorno;135;0,05%
sulle;134;0,05%
sicuro;133;0,05%
nome;129;0,04%
vecchio;129;0,04%
racconto;128;0,04%
sopra;128;0,04%
lungo;127;0,04%
poteva;127;0,04%
caso;127;0,04%
va;127;0,04%
hanno;126;0,04%
qualcuno;126;0,04%
tra;125;0,04%
certo;125;0,04%
intorno;124;0,04%
espressione;124;0,04%
rumore;123;0,04%
tono;123;0,04%
volo;122;0,04%
domandò;122;0,04%
s;122;0,04%
abbiamo;122;0,04%
istante;121;0,04%
contro;119;0,04%
volte;119;0,04%
bambini;119;0,04%
davvero;119;0,04%
subito;119;0,04%
doveva;119;0,04%
dio;118;0,04%
guardò;117;0,04%
giusto;115;0,04%
lentamente;115;0,04%
piedi;114;0,04%
faceva;114;0,04%
finalmente;114;0,04%
posso;114;0,04%
polaroid;114;0,04%
lortz;113;0,04%
ero;112;0,04%
grande;111;0,04%
donna;111;0,04%
luce;111;0,04%
merrill;111;0,04%
noi;110;0,04%
trovato;110;0,04%
storia;109;0,04%
persone;109;0,04%
dovuto;109;0,04%
jenkins;109;0,04%
ted;109;0,04%
senso;108;0,04%
forte;108;0,04%
girò;108;0,04%
far;108;0,04%
indietro;107;0,04%
pensare;106;0,04%
naturalmente;106;0,04%
signora;106;0,04%
alzò;105;0,04%
lavoro;104;0,04%
ce;104;0,04%
stessa;104;0,04%
tom;104;0,04%
veramente;103;0,04%
braccio;103;0,04%
insieme;103;0,04%
primo;102;0,03%
sangue;102;0,03%
sentito;101;0,03%
fine;101;0,03%
sa;101;0,03%
parlare;101;0,03%
vicino;101;0,03%
successo;100;0,03%
dita;100;0,03%
sorriso;100;0,03%
guardare;99;0,03%
conto;99;0,03%
mezzo;99;0,03%
