di;3942;3,60%
il;2356;2,15%
che;2232;2,04%
la;2050;1,87%
e;2048;1,87%
un;1935;1,77%
a;1914;1,75%
non;1679;1,53%
per;1648;1,51%
in;1382;1,26%
ho;1330;1,22%
l;1171;1,07%
una;1155;1,06%
sono;931;0,85%
con;791;0,72%
si;764;0,70%
da;763;0,70%
del;748;0,68%
i;738;0,67%
ma;728;0,67%
mi;720;0,66%
le;708;0,65%
pi;572;0,52%
al;569;0,52%
lo;552;0,50%
se;446;0,41%
era;435;0,40%
ci;411;0,38%
rover;404;0,37%
ha;401;0,37%
della;384;0,35%
come;383;0,35%
tutto;360;0,33%
hab;345;0,32%
d;330;0,30%
alla;319;0,29%
venkat;310;0,28%
su;306;0,28%
solo;298;0,27%
cos;296;0,27%
sol;295;0,27%
disse;294;0,27%
c;285;0,26%
questo;284;0,26%
quando;273;0,25%
cosa;271;0,25%
perch;269;0,25%
dell;264;0,24%
nel;253;0,23%
gli;250;0,23%
lewis;243;0,22%
anche;242;0,22%
poi;240;0,22%
mia;237;0,22%
prima;233;0,21%
camera;231;0,21%
stato;228;0,21%
watney;218;0,20%
rispose;218;0,20%
io;216;0,20%
all;211;0,19%
o;206;0,19%
sul;205;0,19%
mio;204;0,19%
ne;200;0,18%
tuta;198;0,18%
fatto;193;0,18%
tempo;189;0,17%
nella;188;0,17%
ora;185;0,17%
aria;184;0,17%
s;183;0,17%
due;182;0,17%
tutti;182;0,17%
mav;182;0,17%
bordo;181;0,17%
essere;177;0,16%
fare;176;0,16%
dei;176;0,16%
sar;175;0,16%
molto;175;0,16%
martinez;175;0,16%
ancora;174;0,16%
johanssen;174;0,16%
marte;172;0,16%
posso;170;0,16%
me;165;0,15%
questa;164;0,15%
volta;164;0,15%
abbiamo;163;0,15%
qualche;162;0,15%
altro;161;0,15%
bisogno;161;0,15%
bene;158;0,14%
quello;157;0,14%
terra;156;0,14%
acqua;156;0,14%
delle;155;0,14%
gi;155;0,14%
beck;155;0,14%
uno;154;0,14%
senza;153;0,14%
dal;151;0,14%
dopo;149;0,14%
cui;147;0,13%
nasa;146;0,13%
teddy;143;0,13%
ogni;142;0,13%
suo;142;0,13%
modo;142;0,13%
dunque;141;0,13%
niente;141;0,13%
giorni;136;0,12%
avevo;135;0,12%
hanno;134;0,12%
loro;133;0,12%
ossigeno;132;0,12%
po;131;0,12%
equilibrio;131;0,12%
qui;130;0,12%
dalla;130;0,12%
giorno;128;0,12%
ares;127;0,12%
sulla;126;0,12%
dentro;126;0,12%
sua;125;0,11%
problema;124;0,11%
qualcosa;123;0,11%
giornale;122;0,11%
pu;121;0,11%
dello;121;0,11%
aveva;121;0,11%
tutta;120;0,11%
sarebbe;119;0,11%
chilometri;118;0,11%
vogel;118;0,11%
ad;117;0,11%
parte;116;0,11%
secondo;116;0,11%
pannelli;116;0,11%
metri;116;0,11%
trailer;116;0,11%
missione;113;0,10%
adesso;113;0,10%
quanto;111;0,10%
devo;109;0,10%
mitch;109;0,10%
momento;108;0,10%
so;107;0,10%
tre;107;0,10%
pressione;107;0,10%
far;105;0,10%
abbastanza;105;0,10%
sei;104;0,10%
sia;104;0,10%
fuori;104;0,10%
altra;104;0,10%
quel;102;0,09%
tutte;101;0,09%
ore;100;0,09%
hermes;99;0,09%
mai;99;0,09%
nuovo;99;0,09%
pathfinder;99;0,09%
via;98;0,09%
sistema;98;0,09%
punto;97;0,09%
quattro;94;0,09%
mentre;93;0,08%
stata;91;0,08%
comandante;90;0,08%
lavoro;90;0,08%
chiese;89;0,08%
erano;88;0,08%
altri;87;0,08%
troppo;87;0,08%
sta;87;0,08%
dall;86;0,08%
quasi;86;0,08%
sempre;86;0,08%
regolatore;86;0,08%
fa;85;0,08%
dove;84;0,08%
tempesta;84;0,08%
nell;84;0,08%
ti;84;0,08%
quella;83;0,08%
siamo;82;0,07%
velocit;82;0,07%
oggi;82;0,07%
vita;81;0,07%
equipaggio;81;0,07%
eva;81;0,07%
solari;81;0,07%
va;81;0,07%
verso;80;0,07%
meno;78;0,07%
tra;78;0,07%
dovr;78;0,07%
bruce;78;0,07%
no;77;0,07%
letto;77;0,07%
lui;77;0,07%
noi;76;0,07%
litri;76;0,07%
lungo;75;0,07%
mindy;75;0,07%
sonda;75;0,07%
energia;74;0,07%
minuti;74;0,07%
lei;74;0,07%
computer;73;0,07%
allora;73;0,07%
annie;73;0,07%
ed;72;0,07%
miei;72;0,07%
allo;72;0,07%
lancio;71;0,06%
posto;70;0,06%
fino;70;0,06%
tu;70;0,06%
meglio;69;0,06%
idea;69;0,06%
avr;69;0,06%
mark;68;0,06%
atmosfera;68;0,06%
sto;68;0,06%
alle;68;0,06%
ai;67;0,06%
viaggio;66;0,06%
aver;66;0,06%
co;66;0,06%
possiamo;66;0,06%
grande;65;0,06%
nello;65;0,06%
andare;64;0,06%
dovuto;64;0,06%
li;64;0,06%
vi;63;0,06%
ce;63;0,06%
percento;63;0,06%
tanto;63;0,06%
controllo;63;0,06%
stesso;62;0,06%
dire;62;0,06%
spaziale;62;0,06%
durante;61;0,06%
caso;61;0,06%
telo;61;0,06%
ossigenatore;60;0,05%
sistemi;60;0,05%
terreno;60;0,05%
